addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N",13,"20220223","정상운영","2022-06-15","없음","10078",435,"5층 516,517,518호","kSRv9MJRitMbOHuWFEVUh43/4VcNDonkMQOk2hfBzmU=","축구","김포시","운양동","김포시","10078","031-982-3665","2023-02-14","신고","경기도","제이엔케이 축구교실","경기도 김포시 김포한강1로 230(운양동)","Y","체육교습업","경기도 김포시 운양동 1306-6"
"충청북도","N",14,"20230117","정상운영","2023-02-03","없음","28612",406,"7층 (개신동)","L2WR24QJbUX/V+k7q6O+uJJsrOTbp/Ys8T5kqXQkQcY=","축구","청주시","","청주시","28612","043-234-2201","2023-02-03","신고","충청북도","네오축구교실","충청북도 청주시 서원구 복대로 15(개신동)","Y","체육교습업","충청북도 청주시 서원구 개신동 697"
"경기도","N",15,"20210713","정상운영","2022-03-04","실내","13228",198,"3층 (상대원동)","X/wy+yeSaiGvI+GZwMA74JPkRHwvn6Vq1wr8npC3OQg=","축구","성남시","","성남시","13228","","2023-02-06","신고","경기도","JFC 어린이 축구교실","경기도 성남시 중원구 박석로5번길 16(상대원동)","Y","체육교습업","경기도 성남시 중원구 상대원동 1433"
"경상남도","N",16,"20050501","정상운영","2016-12-31","실내외","50420",16495,"","86vIE55bPZRQLTdSZcGXa5oC0iiXXJ5rMcsWJrEDcUs=","축구장","밀양시","교동","밀양시","50420","055-359-4612","2023-03-17","공공","경상남도","밀양종합운동장 보조경기장","경상남도 밀양시 밀양대로 2057-21 (교동)","N","축구장","경상남도 밀양시 교동 1111 밀양공설운동장"
"경기도","N",17,"20230109","정상운영","2023-01-25","없음","18506",272,"4층 401~407호 (장지동)","XoxQL2yofAhkm3N5YnXoroXATXGdnSZV+zxPfJ8drtE=","축구","화성시","","화성시","18506","","2023-02-01","신고","경기도","탄탄FC","경기도 화성시 동탄대로4길 47(장지동)","Y","체육교습업","경기도 화성시 장지동 971-4"
"경기도","N",18,"20230202","정상운영","2023-02-07","없음","10375",221,"제지하층 제비02호","","축구","고양시","일산동","고양시","10375","","2023-03-17","신고","경기도","프리미어FC","경기도 고양시 일산서구 일산로 555(일산동)","Y","체육교습업","경기도 고양시 일산서구 일산동 1062-1"
"부산광역시","N",19,"20210409","정상운영","2021-05-31","없음","46524",279,"","sToBx7qLCf6mZoC8wpHY/pI6ARQkbjiTEVmYZmzS9PQ=","축구","북구","화명동","북구","46524","051-361-7945","2023-03-01","신고","부산광역시","케이에스스포테인","부산광역시 북구 화명신도시로 127 (화명동)","Y","체육교습업","부산광역시 북구 화명동 2271-6 범서미라클"
"경기도","N",20,"20210120","폐업","2021-04-07","실내외","18111",4376,"","A2r+bk5W5gTb2Ch0ko+0F7e+G+Fo4sWFjU1wuVIGOKM=","축구","오산시","외삼미동","오산시","18111","031-372-7025","2023-02-07","신고","경기도","동탄유나이티드 2020","경기도 오산시 외삼미로152번길 16-8 (외삼미동)","Y","체육교습업","경기도 오산시 외삼미동 99-2"
"경기도","N",21,"20211117","정상운영","2021-12-10","실내","13435",295,"3층 (여수동)","BlRQW3sIAAsGy0IqAG1WqYm1z7WtiafaXtqm7CvSejY=","축구","성남시","","성남시","13435","","2023-02-14","신고","경기도","챌린져풋볼클럽(FC)","경기도 성남시 중원구 여수울로15번길 4-4(여수동)","Y","체육교습업","경기도 성남시 중원구 여수동 403"
"경기도","N",22,"20220804","정상운영","2022-08-05","없음","16984",325,"","Jci2iSAPAkQH40uzSj+0oF5J/Cp1CeqRrB7zeWglqM8=","축구","용인시","청덕동","용인시 기흥구","16984","","2023-03-01","신고","경기도","페이버 FC","경기도 용인시 기흥구 언동로71번길 45(청덕동)","Y","체육교습업","경기도 용인시 기흥구 청덕동 413-12"
"부산광역시","N",23,"20230405","정상운영","2023-04-06","실내외","47743",429,"2,3층(명륜동)","","축구","동래구","명륜동","동래구","47743","","2023-04-06","신고","부산광역시","맥스FC 락커룸","부산광역시 동래구 동래로79번길 19 (명륜동)","Y","체육교습업","부산광역시 동래구 명륜동 680-3"
"울산광역시","N",24,"20211110","폐업","2021-11-23","없음","44209",250,"201호 (상안동)","1ndO/fZndvxOpwd0RhRmsPeAYDKI5RRjWQsFJ17a5JE=","축구","북구","","북구","44209","","2023-03-15","신고","울산광역시","스타스포츠","울산광역시 북구 아진로 41-12(상안동)","Y","체육교습업","울산광역시 북구 상안동 357-25"
"제주특별자치도","N",25,"19999999","정상운영","2016-12-31","실내외","63572",125276,"","GwmWlPA4TysWuwRHszA5MvDVfaw1GmabZq9hjn53Imk=","축구장","서귀포시","법환동","서귀포시","63572","064-760-3623","2023-02-03","공공","제주특별자치도","제주월드컵경기장","제주특별자치도 서귀포시 월드컵로 33 (법환동)","N","축구장",""
"경기도","N",26,"20220302","정상운영","2022-03-15","실내","15011",432,"","kfnsHFSRjkGLMBJiuYUIrg30iM6qe1rk/X2OQCMc17k=","축구","시흥시","","시흥시","15011","","2023-02-02","신고","경기도","하이어(Higher F.C)","경기도 시흥시 서울대학로264번길 26-32(배곧동)","Y","체육교습업","경기도 시흥시 배곧동 230 배곧중앙프라자"
"서울특별시","N",27,"20210316","정상운영","2022-11-04","없음","07572",317,"2층 (등촌동)","Rg4/in+bscO/fR0E+fSY2IaoAYW+1Y6Rkn7x/2Cmkcg=","축구","강서구","등촌동","강서구","07572","","2023-02-07","신고","서울특별시","청오축구 X FCMM","서울특별시 강서구 공항대로 411(등촌동)","Y","체육교습업","서울특별시 강서구 등촌동 656-54"
"충청북도","N",28,"20220411","정상운영","2022-05-30","없음","28645",198,"","NI9p8wNcu81myAfuROclCCd47qDj/+IcJbvYeF3HX7k=","축구","청주시","개신동","청주시 서원구","28645","043-268-6688","2023-05-05","신고","충청북도","엘리트 스포츠 아카데미","충청북도 청주시 서원구 성봉로220번길 94(개신동)","Y","체육교습업","충청북도 청주시 서원구 개신동 292"
"서울특별시","N",29,"20210419","정상운영","2022-03-07","실내","08342",125,"B1호","iOmF4H7R+IP8AgUJL5MnX+zIGhRW+PSSTXjrWgKXu9Q=","축구","구로구","오류동","구로구","08342","","2023-02-01","신고","서울특별시","구로 베스트 축구클럽","서울특별시 구로구 서해안로24길 21-4(오류동)","Y","체육교습업","서울특별시 구로구 오류동 165-3"
"경기도","N",30,"20221230","정상운영","2023-04-12","없음","18387",338,"","","축구","화성시","기산동","화성시","18387","","2023-04-12","신고","경기도","히터스스포츠","경기도 화성시 기산말길 89-3 (기산동)","Y","체육교습업","경기도 화성시 기산동 368"
"대전광역시","N",31,"20211122","정상운영","2023-02-14","실내","34695",424,"","","축구","동구","가오동","동구","34695","042-286-9961","2023-02-15","신고","대전광역시","티키타카 축구교실","대전광역시 동구 동구청로 89-16(가오동)","N","체육교습업","대전광역시 동구 가오동 651"
"경상북도","N",32,"20211119","정상운영","2021-11-30","없음","38428",315,"","ME9mvY62vNXMJoiZPjNyo7f0MG4B4u8PfAtcXxccNSA=","축구","경산시","부호리","경산시","38428","","2023-04-27","신고","경상북도","에프씨(FC)경산","경상북도 경산시 하양읍 대경로105길 16","Y","체육교습업","경상북도 경산시 하양읍 부호리 187"
"경기도","N",33,"19999999","정상운영","2019-06-23","실외","429821",165,"","LNexTwCNMh1A6p8QRVik3nm/FuEJMYzBLy4UVP2hdyQ=","축구장","시흥시","목감동","시흥시","","031-310-3159","2023-02-15","공공","경기도","조남동 간이 축구장","경기 시흥시 목감동 275-10","N","축구장","경기 시흥시 목감동 275-10"
"대구광역시","N",34,"19920824","정상운영","2016-12-31","실내외","706010",1632,"","4tRs4xRzYeRgeM14q8SfQCJGYonEovuZGfUhFnB1dJQ=","축구장","수성구","","수성구","706010","053-666-2183","2023-04-27","공공","대구광역시","수성구민운동장","수성구 범어동 356","N","축구장",""
"경기도","N",35,"20230221","정상운영","2023-05-03","없음","12201",197,"","","축구","남양주시","","남양주시","12201","","2023-05-03","신고","경기도","JH축구센터","경기도 남양주시 와부읍 석실로488번길 35-12","Y","체육교습업","경기도 남양주시 와부읍 율석리 707-1"
"경기도","N",36,"20230323","정상운영","2023-04-13","없음","18511",495,"","","축구","화성시","","화성시","18511","","2023-04-13","신고","경기도","동탄스포츠파크","경기도 화성시 금곡로 211-89 (금곡동)","Y","체육교습업","경기도 화성시 금곡동 319-13"
"충청북도","N",37,"20170901","정상운영","2023-03-02","실외","27611","","감곡생활체육공원","","축구장","음성군","오향리","음성군","27611","043-871-5919","2023-03-02","공공","충청북도","감곡생활체육공원 축구장","충청북도 음성군 감곡면 감문1길 20","N","축구장","충청북도 음성군 감곡면 오향리 1188"
"인천광역시","N",38,"20210414","정상운영","2021-08-09","실내","22642",1834,"","TaFbxVfLpRL8YOgEJRQvyZKu7qMuHhBYDgX/rEWZj/s=","축구","서구","마전동","서구","22642","032-563-1105","2023-03-16","신고","인천광역시","ATS스포츠센터","인천광역시 서구 완정로34번길 57-21(마전동)","Y","체육교습업","인천광역시 서구 마전동 1005-6 올댓스윔"
"대전광역시","N",39,"20220121","정상운영","2023-02-15","없음","35057",0,"(사정동)","","축구","중구","","중구","35057","","2023-02-15","신고","대전광역시","하이파이브유소년스포츠클럽","대전광역시 중구 대둔산로350번길 102-19(사정동)","Y","체육교습업","대전광역시 중구 사정동 402-2"
"경기도","N",40,"19999999","정상운영","2016-12-31","실외","18131",473,"","LZa11BcwY2cWUoX6XVESbnwd+l5jZobjLJQPXn746ZQ=","축구장","오산시","오산동","오산시","18131","031-8036-7962","2023-04-28","공공","경기도","오산스포츠센터보조축구장","경기도 오산시 경기동로 33 (오산동)","N","축구장","경기도 오산시 오산동 40 오산스포츠센터"
"경기도","N",41,"20221205","정상운영","2023-01-30","없음","16804",300,"1층","fRiJs3vXK0ETUufEi1xKPsMJgP9Bgg2sVjUF2SyAAMg=","축구","용인시","성복동","용인시","16804","","2023-05-10","신고","경기도","광교 세품 축구클럽","경기도 용인시 수지구 성복2로 369(성복동)","Y","체육교습업","경기도 용인시 수지구 성복동 628-13"
"경기도","N",42,"20220512","정상운영","2022-05-31","실내","16803",322,"A동 2층","g1yhdTIzUt8pHrHtNb416S/RUqBI0TZU/SnOIZpaxC4=","축구","용인시","신봉동","용인시","16803","","2023-05-10","신고","경기도","공 때리는 언니들","경기도 용인시 수지구 신봉1로347번길 12(신봉동)","Y","체육교습업","경기도 용인시 수지구 신봉동 650-1"
"경기도","N",43,"20210218","정상운영","2023-04-12","없음","18255",387,"1층","","축구","화성시","","화성시","18255","","2023-04-12","신고","경기도","클럽에이치제이","경기도 화성시 남양읍 화성로1424번길 69","Y","체육교습업","경기도 화성시 남양읍 북양리 348-2"
"경상남도","N",44,"20230119","정상운영","2023-02-02","없음","50421",335,"2층 (교동)","ufKZ95eb7VJ6rHSM0TG4A27nfOaIGS7hmN89gt/WfKY=","축구","밀양시","","밀양시","50421","","2023-04-29","신고","경상남도","아톰풋볼아카데미","경상남도 밀양시 밀양대로 2126(교동)","Y","체육교습업","경상남도 밀양시 교동 860-8"
"경기도","N",45,"20211012","정상운영","2021-10-14","없음","15002",210,"2층 (장곡동)","+gZxnbG/CLCDu9v0ZIHHhQ+yIUBRL5CIuLbI6Ng6keo=","축구","시흥시","","시흥시","15002","","2023-01-31","신고","경기도","주식회사 윈-WIN FC","경기도 시흥시 장곡로70번길 5(장곡동)","Y","체육교습업","경기도 시흥시 장곡동 801-5"
"경기도","N",46,"20230113","정상운영","2023-01-25","없음","18511",220,"3층 (금곡동)","vhy1QSnBXc+PGBSJLjekZkTrP875TLsqTQANOtgVCMs=","축구","화성시","","화성시","18511","","2023-02-07","신고","경기도","동탄주니어 FC","경기도 화성시 금곡로 203(금곡동)","Y","체육교습업","경기도 화성시 금곡동 340-4"
"울산광역시","N",47,"20230227","정상운영","2023-03-03","없음","44254",66,"2층","","축구","북구","진장동","북구","44254","","2023-05-02","신고","울산광역시","이노스포츠","울산광역시 북구 명촌2길 3(진장동)","Y","체육교습업","울산광역시 북구 진장동 754"
"경기도","N",48,"19999999","정상운영","2016-12-31","실외","447240","","","yTp0JMbRe3fb0pJ8c6InbpgWW37uvi+nkYuUDRq+6tM=","축구장","오산시","","오산시","447240","031-8036-7962","2023-04-28","공공","경기도","오산죽미체육공원다목적구장","오산시 세교동 619","N","축구장","경기 오산시 세교동 619"
"경기도","N",49,"20211117","정상운영","2021-11-19","없음","12147",1005,"","GumrvyUmcsGV6GlmjWkWnP+CETAvDLL/jNkDgt+4u34=","축구","남양주시","호평동","남양주시","12147","","2023-02-01","신고","경기도","조재진축구교실","경기도 남양주시 호평로67번길 11(호평동)","Y","체육교습업","경기도 남양주시 호평동 168-18"
"경기도","N",50,"20230209","정상운영","2023-02-16","실외","18472",6336,"치동천체육공원 인조잔디 축구장 (영천동)","","축구","화성시","영천동","화성시","18472","","2023-02-16","신고","경기도","동탄유나이티드","경기도 화성시 동탄순환대로29길 38(영천동)","Y","체육교습업","경기도 화성시 영천동 670-2"
"경기도","N",51,"20211115","정상운영","2021-11-17","없음","18150",1394,"","n4Qp2Ojpa0B3Fy+2HgFwkpCWE/GtYGl9rG052Lglg0k=","축구","오산시","원동","오산시","18150","","2023-03-08","신고","경기도","오산풋살파크","경기도 오산시 원동로 97-21(원동)","Y","체육교습업","경기도 오산시 원동 92-2"
"경상북도","N",52,"19999999","정상운영","2023-03-03","실외","36236","","","","축구장","봉화군","해저리","봉화군","36236","055-679-6983","2023-03-03","공공","경상북도","복합스포츠단지 축구장","경상북도 봉화군 봉화읍 봉화로 1111-103","N","축구장","경상북도 봉화군 봉화읍 해저리 산4-18"
"경기도","N",53,"20210429","정상운영","2022-05-02","없음","12141",354,"마동 2층 (호평동)","mFBc90wlDHHMzE6mCVubTU2bsR1EE59nDwACOZp6E0Y=","축구","남양주시","","남양주시","12141","","2023-02-01","신고","경기도","다산주니어 FC","경기도 남양주시 천마산로16번길 28(호평동)","Y","체육교습업","경기도 남양주시 호평동 408-2"
"경기도","N",54,"20230224","정상운영","2023-03-06","없음","11815",287,"3층 (낙양동)","","축구","의정부시","","의정부시","11815","031-928-7483","2023-03-08","신고","경기도","베스트아이 스포츠 클럽","경기도 의정부시 민락로 392(낙양동)","Y","체육교습업","경기도 의정부시 낙양동 743"
"경기도","N",55,"20230316","정상운영","2023-03-17","없음","12900",4931,"","","축구","하남시","미사동","하남시","12900","","2023-03-24","신고","경기도","SSFC 축구교실","경기도 하남시 미사동로37번길 85(미사동)","Y","체육교습업","경기도 하남시 미사동 340"
"경기도","N",56,"20211014","정상운영","2023-04-13","없음","18290",460,"","","축구","화성시","","화성시","18290","","2023-04-14","신고","경기도","수원시티에프씨협동조합","경기도 화성시 매송면 매송고색로503번길 237-9","Y","체육교습업","경기도 화성시 매송면 천천리 35-3"
"경기도","N",57,"20210830","정상운영","2023-04-13","없음","18510",414,"","","축구","화성시","","화성시","18510","","2023-04-13","신고","경기도","테크니카 축구클럽(테크니카 풋볼클럽)","경기도 화성시 경기동로 437 (장지동)","Y","체육교습업","경기도 화성시 장지동 712-3"
"경기도","N",58,"20210924","정상운영","2023-04-13","없음","18510",396,"","","축구","화성시","","화성시","18510","","2023-04-14","신고","경기도","포에스축구클럽","경기도 화성시 경기동로 470-17 (장지동)","Y","체육교습업","경기도 화성시 장지동 838-2"
"경기도","N",59,"20210329","정상운영","2021-04-15","실내","14923",278,"파크플레이 4층 405호","t6um08mFAmlgqzmWWkGUDoKhm6GHMeexnKC34LPzAFo=","축구","시흥시","은행동","시흥시","14923","","2023-02-03","신고","경기도","에스에스씨 운동과학센터","경기도 시흥시 은계호수로 25 (은행동)","Y","체육교습업","경기도 시흥시 은행동 611-2 파크플레이"
"경기도","N",60,"20210609","폐업","2021-06-10","실내","17141",390,"가동","PhMtL0krI1yTiQBnm7DvwY8I3ANc0fYAKx8KhLtesNk=","축구","용인시","호동","용인시","17141","","2023-05-05","신고","경기도","제이제이풋볼클럽","경기도 용인시 처인구 동부로424번길 50 (호동)","Y","체육교습업","경기도 용인시 처인구 호동 190"
"서울특별시","N",61,"20210917","정상운영","2022-12-14","없음","04106",381,"양원주부학교 지하1층 (대흥동)","sB2+8eZ8X1TQg1y5LRfPmxz0hc9RzbXlk7LH08zvZKY=","축구","마포구","대흥동","마포구","04106","","2023-04-29","신고","서울특별시","노아풋볼클럽","서울특별시 마포구 고산18길 13(대흥동)","Y","체육교습업","서울특별시 마포구 대흥동 18-4"
"서울특별시","N",62,"20211202","정상운영","2022-12-14","없음","04095",351,"신촌삼익아파트 상가동 지하층","XZZvSyc0uW8hhSrMO/sFysqg6BqHfnWrfmR2NszNFzo=","축구","마포구","신수동","마포구","04095","","2023-04-07","신고","서울특별시","김병지축구클럽마포점(비제이아카데미)","서울특별시 마포구 신수로 105(신수동)","Y","체육교습업","서울특별시 마포구 신수동 450 신촌삼익아파트 상가동"
"인천광역시","N",63,"20221108","정상운영","2023-04-06","없음","21992",8029,"송도LNG종합스포츠타운 (송도동)","","축구","연수구","송도동","연수구","21992","","2023-04-07","신고","인천광역시","(주)에스디 일레븐","인천광역시 연수구 인천신항대로 916 (송도동)","Y","체육교습업","인천광역시 연수구 송도동 379 송도LNG종합스포츠타운"
"경기도","N",64,"20230216","정상운영","2023-02-17","없음","10571",200,"","","축구","고양시","신원동","고양시 덕양구","10571","","2023-02-17","신고","경기도","스타유소년축구클럽","경기도 고양시 덕양구 신원로 18(신원동)","Y","체육교습업","경기도 고양시 덕양구 신원동 626-1"
"경기도","N",65,"19999999","정상운영","2023-02-17","없음","13830","","","","축구장","과천시","관문동","과천시","13830","02-500-1411","2023-02-17","공공","경기도","관문체육공원축구장","경기도 과천시 중앙로 294(관문동)","N","축구장","경기도 과천시 관문동 3 관문실내체육관"
"경기도","N",66,"20221027","정상운영","2022-12-26","없음","10453",1022,"(산황동)","4q9pK+EZNhXgcBWTXaM3IfcxZ6tq7CiY3rsLhDiWjV0=","축구","고양시","","고양시","10453","","2023-04-20","신고","경기도","라보나필드","경기도 고양시 일산동구 산황로 178-77(산황동)","Y","체육교습업","경기도 고양시 일산동구 산황동 630-3"
"경상남도","N",67,"20190101","정상운영","2023-03-22","실외","52352","","","","축구장","하동군","송문리","하동군","52352","055-880-2384","2023-03-22","공공","경상남도","금남생활체육공원","경상남도 하동군 금남면 미법마을길 3","N","축구장","경상남도 하동군 금남면 송문리 873"
"경기도","N",68,"20211021","폐업","2021-10-26","없음","18110",494,"(내삼미동)","akeJuqoS74Gfr0uojHu7DA52lI0PFUgoSiAi5AVwiB8=","축구","오산시","","오산시","18110","","2023-03-17","신고","경기도","제이앤에스(J&S) 풋볼 아카데미","경기도 오산시 수청로50번길 25-5(내삼미동)","Y","체육교습업","경기도 오산시 내삼미동 854-1"
"충청북도","N",69,"20221108","정상운영","2022-11-09","없음","28308",168,"1층 (주중동)","J2rRSX4gMG2vERoOJLnH35q/iCs8UgkFmKBVNPbQOY4=","축구","청주시","","청주시","28308","","2023-02-17","신고","충청북도","올풋키즈풋볼","충청북도 청주시 청원구 공항로220번길 76(주중동)","Y","체육교습업","충청북도 청주시 청원구 주중동 569-11"
"대전광역시","N",70,"20220121","정상운영","2023-02-14","없음","",10371,"","","축구","동구","가오동","동구","","","2023-02-14","신고","대전광역시","제이스 풋살 아카데미","","N","체육교습업","대전 동구 가오동 7-9"
"경기도","N",71,"20230207","정상운영","2023-05-02","실외","17902",2289,"6층","","축구","평택시","합정동","평택시","17902","","2023-05-03","신고","경기도","김병수축구아카데미","경기도 평택시 평택5로 30 (합정동)","Y","체육교습업","경기도 평택시 합정동 968-1 롯데마트 평택점"
"경기도","N",72,"20211201","정상운영","2022-12-26","없음","10337",270,"B101호 (중산동)","pfREPC9PHav22BgdDydRR7LVXJxgYN0D2QXgzYJRzWw=","축구","고양시","성석동","고양시","10337","","2023-03-18","신고","경기도","고양축구교실","경기도 고양시 일산동구 중산로 235, B101호 (중산동)","Y","체육교습업","경기도 고양시 일산동구 중산동 1562-1 B101호"
"전라남도","N",73,"19999999","정상운영","2023-03-24","실외","57715","","","","축구장","광양시","광영동","광양시","57715","061-797-3903","2023-03-24","공공","전라남도","광영축구장","전라남도 광양시 광영의암1로 17(광영동)","N","축구장","전라남도 광양시 광영동 1089"
"울산광역시","N",74,"20210208","정상운영","2021-08-20","없음","44264",144,"","2D95vboQiRflMqEW5zC+u8vvGUhR8jumdXOs2TbPvNs=","축구","북구","산하동","북구","44264","","2023-05-02","신고","울산광역시","퍼스트원FC","울산광역시 북구 산하중앙1로 131(산하동)","Y","체육교습업","울산광역시 북구 산하동 31"
"서울특별시","N",75,"20230202","정상운영","2023-02-08","없음","04584",251,"1층 (신당동)","","축구","중구","","중구","04584","","2023-03-18","신고","서울특별시","파시온FC 동화점","서울특별시 중구 다산로36길 101(신당동)","Y","체육교습업","서울특별시 중구 신당동 41-52"
"경기도","N",76,"20210305","정상운영","2023-04-18","없음","18244",469,"폴리프라자 801~804호 (새솔동)","","축구","화성시","","화성시","18244","","2023-04-19","신고","경기도","MYFC축구교실","경기도 화성시 수노을중앙로 156, 폴리프라자 801~804호 (새솔동)","Y","체육교습업","경기도 화성시 새솔동 76-12 "
"경기도","N",77,"20230316","정상운영","2023-03-20","없음","10068",397,"","","축구","김포시","마산동","김포시","10068","","2023-03-20","신고","경기도","파파FC","경기도 김포시 김포한강8로148번길 5(마산동)","Y","체육교습업","경기도 김포시 마산동 650-3"
"서울특별시","N",78,"20210402","정상운영","2021-08-02","실내","08227",138,"","h1Gff4bQH9TeG8r0ypmSgi7JDiKKeO11ul4UKJ4ihAI=","축구","구로구","고척동","구로구","08227","","2023-04-10","신고","서울특별시","서울스포트리","서울특별시 구로구 경인로 403(고척동)","Y","체육교습업","서울특별시 구로구 고척동 76-38 원메디타운"
"경기도","N",79,"20211103","정상운영","2021-12-02","없음","10909",476,"","huJTVv6wnXkP3A199QtVJno5Apqsc6/wCSgUhKEpjBU=","축구","파주시","야당동","파주시","10909","","2023-05-02","신고","경기도","에이치알 레포츠 센터","경기도 파주시 송학1길 67-31(야당동)","Y","체육교습업","경기도 파주시 야당동 421-20"
"부산광역시","N",80,"20211109","정상운영","2021-12-31","없음","48280",261,"","sGuIT7kh3DjiZFYvbtgpgTaAWprX1b3KEDftXSQVnEo=","축구","수영구","민락동","수영구","48280","051-757-6571","2023-02-20","신고","부산광역시","제이엠 에프씨","부산광역시 수영구 광안해변로344번길 9-15(민락동)","Y","체육교습업","부산광역시 수영구 민락동 110-36 월드비치빌"
"광주광역시","N",81,"20220128","정상운영","2022-11-08","실외","62352",4320,"월곡초등학교","T//gZ8KUvGBT2h5LPrLpdt90S4bnU97yCIIoaCSeZJg=","축구","광산구","월곡동","광산구","62352","","2023-02-20","신고","광주광역시","월곡FC U-12","광주광역시 광산구 월곡산정로 107(월곡동)","Y","체육교습업","광주광역시 광산구 월곡동 588 월곡초등학교"
