addr_ctpv_nm,stand_seat_cnt,nation_yn,row_num,base_ymd,fmng_dept_nm,faci_stat_nm,faci_mng_type_cd,fmng_type_gb_nm,reg_dt,fmng_cpb_nm,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_cd_hash,fmng_cp_nm,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_mng_user_telno,faci_nm,faci_road_addr,cp_ymd,atnm_chk_yn,fcob_nm,faci_addr,stand_cpt_psn_cnt,ssm_dsn_yn
"경상남도","","N",14,"19999999","교육체육과","정상운영","자체운영        ","지자체","2021-07-26","양산시","실외","35.3230048530464","","","DmAga0DFGQyOzq7NkfN4M9gDPNufOnGXXIiJMk7ainM=","경상남도","테니스장","양산시","범어리","양산시","","055-392-7015","129.019176395972","2023-03-02","공공","경상남도","055-392-3403","(테니스장-08) 양산시립2테니스장","경남 양산시 물금읍 범어리 2822","","N","테니스장","경남 양산시 물금읍 범어리 2822","","X"
"경기도","","N",15,"20090601","체육진흥과","정상운영","자체운영        ","지자체","2017-01-04","시흥시","실외","37.449710579345975","14902","","lJ4AkEhcBcnG4WaI3G6H0ShmRoMZpDXkH0AFRl8k7S4=","경기도","테니스장","시흥시","대야동","시흥시","14902","031-310-3159","126.78291857024581","2023-02-16","공공","경기도","031-310-3159","대야배수지(테니스장)","경기도 시흥시 소래산길 37 (대야동)","20090601","N","테니스장","경기도 시흥시 대야동 332-80","","X"
"경기도","","N",16,"20021202","체육진흥과","정상운영","위탁운영        ","지자체","2017-01-12","시흥시","실외","37.40557350904846","14957","","99oZtz+umsKfYsjRnd59bzr2pWtmE9mx8OB8oi0aio0=","경기도","테니스장","시흥시","포동","시흥시","14957","031-310-3159","126.78394277539098","2023-02-16","공공","경기도","031-310-3159","포동 생활체육공원(테니스장)","경기도 시흥시 시흥대로789번길 14-3 (포동)","20021202","N","테니스장","","","X"
"경기도","","N",17,"19970401","체육진흥과","정상운영","위탁운영        ","지자체","2016-11-07","시흥시","없음","37.441126910347975","14919","","cOrICddF7sf6CZxAO6rogbIBvtZyAS17lxBumJtN4I4=","경기도","테니스장","시흥시","은행동","시흥시","14919","031-310-3159","126.79363776096604","2023-02-16","공공","경기도","031-310-3159","비둘기공원테니스장","경기도 시흥시 대은로 16-29 (은행동)","19970401","N","테니스장","","","X"
"경기도","","N",18,"19999999","체육진흥과","정상운영","위탁운영        ","지자체","2016-11-07","시흥시","실내외","37.3702922355","14992","","LUm4MgAPVAXlGV7R6o2colPx4OvCirYAxepYEbHF70Y=","경기도","테니스장","시흥시","능곡동","시흥시","14992","031-310-3159","126.8153405944","2023-02-16","공공","경기도","031-310-3159","능곡동 테니스장","경기도 시흥시 목실길 24 (능곡동)","","N","테니스장","","","X"
"경기도","","N",19,"20151102","체육진흥과","정상운영","위탁운영        ","지자체","2017-01-12","시흥시","실외","37.37621287787825","15010","","WV4ylbywC9vuIae60PZRY6ebBTS8/MSr5hLtt6cZkoM=","경기도","테니스장","시흥시","정왕동","시흥시","15010","031-310-3159","126.73844798267795","2023-02-16","공공","경기도","031-310-3159","배곧테니스장","경기도 시흥시 배곧4로 81-29 (정왕동, 배곧센텀베이2차)","20151102","N","테니스장","경기도 시흥시 정왕동 1772-21 배곧센텀베이2차","","X"
"경기도","","N",20,"20090601","체육진흥과","정상운영","위탁운영        ","지자체","2017-01-10","시흥시","실외","37.3395988764","15050",1699,"zYPVoWEeOv29iCV4QrhMgyONaXcvOSGFUKiddPVVxIE=","경기도","테니스장","시흥시","정왕동","시흥시","15050","031-310-3159","126.7570731127","2023-02-16","공공","경기도","031-310-3159","정왕동 체육공원(테니스장)","경기도 시흥시 역전로 50 (정왕동)","20090601","N","테니스장","","","X"
"경기도","","N",21,"20080101","체육진흥과","정상운영","위탁운영        ","지자체","2016-11-07","시흥시","실외","37.333399515144514","429450","","Ag7duyFgJCWy7fKOIdUWQ27Tw+W/uFhRgXtPSq1eQ74=","경기도","테니스장","시흥시","정왕동","시흥시","","031-310-3159","126.72561999747465","2023-02-16","공공","경기도","031-310-3159","소망공원테니스장","경기 시흥시 정왕동 1368","20080101","N","테니스장","경기 시흥시 정왕동 1368","","X"
"경기도","","N",22,"19940401","체육진흥과","정상운영","위탁운영        ","지자체","2016-11-07","시흥시","실외","37.3359334483","15092","","RSC/uu3YAf2DxJD4WV2+XTLbMG8udHbYbZvuL7Q/c6g=","경기도","테니스장","시흥시","정왕동","시흥시","15092","031-310-3159","126.7150486919","2023-02-16","공공","경기도","031-310-3159","희망공원테니스장","경기도 시흥시 군자천로131번길 64 (정왕동)","19940401","N","테니스장","","","X"
"경상북도","","N",23,"19999999","봉화군 체육시설사업소 체육시설팀","정상운영","자체운영        ","지자체","2023-03-03","봉화군","없음","36.8955837736882","36236","","","경상북도","테니스장","봉화군","해저리","봉화군","36236","054-679-6983","128.728936838849","2023-03-03","공공","경상북도","054-679-6983","복합스포츠단지 테니스장","경상북도 봉화군 봉화읍 봉화로 1111-103","","N","테니스장","경상북도 봉화군 봉화읍 해저리 산4-18","","X"
"경상남도","","N",24,"20211021","시설체육과","정상운영","자체운영        ","지자체","2023-03-21","하동군","실내","35.1862934994436","52313","","","경상남도","테니스장","하동군","병천리","하동군","52313","055-880-2384","127.878954140127","2023-03-21","공공","경상남도","055-880-2384","옥종다목적생활공원 실내테니스장","경상남도 하동군 옥종면 옥종중앙길 120","20211021","N","테니스장","경상남도 하동군 옥종면 병천리 484-1","","X"
"경상남도","","N",25,"20100101","체육시설사업소","정상운영","자체운영        ","지자체","2016-12-31","하동군","실외","35.0592350281","667801","","2UoXsWffh9tx/VGqbUZ8wPGdvGdURgjb6hmeTKmuMRU=","경상남도","테니스장","하동군","","하동군","667801","055-880-2384","127.750418515","2023-03-22","공공","경상남도","055-880-6443","수변공원(섬진강)테니스장","하동읍 광평리 63-2","20100101","N","테니스장","",100,"N"
"경기도","","N",26,"19999999","체육과","정상운영","위탁운영        ","지자체","2016-11-07","의정부시","실내외","37.7475187595303","11780",4479,"/m/Hj31Dh7A/Z5oIN8A5QCd0VjR+SLXE0ZFcqY1iT24=","경기도","테니스장","의정부시","신곡동","의정부시","11780","031-840-4030","127.076638599093","2023-02-20","공공","경기도","031-828-4073","송산배수지테니스장","경기도 의정부시 부용로214번길 51(신곡동)","","N","테니스장","경기도 의정부시 신곡동 53-464","","X"
"서울특별시","","Y",27,"19990101","공원경영팀","정상운영","위탁운영        ","국민체육","2016-12-31","","실내","37.513696662106554","05540",4994,"JudDfD5k+baE+E3rCeeQaDz4Lai1aZuf8GJDagGeXfI=","","테니스장","송파구","방이동","송파구","05540","02-2180-3743","127.1282104800331","2023-02-08","공공","서울특별시","02-410-1322","올림픽공원 실내테니스장","서울특별시 송파구 올림픽로 424 (방이동)","","N","테니스장","","","X"
"대구광역시",0,"N",28,"19999999","자원순환과","폐업","자체운영        ","지자체","2016-12-31","","실외","35.8362874380832","42701",826,"FlpSrrQrCdHEdJsRXp7PtiHNcI6rsWql68i1ZYLYZwA=","대구광역시","테니스장","","장동","달서구","42701","053-605-8405","128.512245938339","2023-03-20","공공","대구광역시","053-803-4251","성서소각장테니스장","대구광역시 달서구 성서공단로 257(장동)","","N","테니스장","대구광역시 달서구 장동 306-71",0,"X"
"인천광역시","","N",29,"19999999","홍보체육진흥실 체육진흥팀","정상운영","자체운영        ","지자체","2023-03-20","중구","실외","37.4821100651808","","","","인천광역시","테니스장","중구","운남동","중구","","032-760-7137","126.551745543054","2023-03-20","공공","인천광역시","032-760-7139","송산배수지 상부 테니스장","","","N","테니스장","인천 중구 운남동 1640-8","","X"
"경상남도","","N",30,"19999999","교육체육과","정상운영","자체운영        ","지자체","2016-12-31","양산시","실외","35.3776261151425","50541","","KsR9UBsEGXyz/5cATyTduec13PJcEcxQNvkaB+J35Kk=","경상남도","테니스장","양산시","평산동","양산시","50541","055-379-8574","129.143429854588","2023-02-23","공공","경상남도","055-392-3403","(테니스장-03) 웅상체육공원","경상남도 양산시 배움터길 60-19(평산동)","","N","테니스장","경상남도 양산시 평산동 283 웅상체육공원","","X"
"경상북도","","N",31,"19999999","문화관광체육과","정상운영","자체운영        ","지자체","2023-04-14","봉화군","실외","37.0457161733469","36272","","","경상북도","테니스장","봉화군","석포리","봉화군","36272","054-679-6972","129.067248580003","2023-04-14","공공","경상북도","054-679-6644","석포테니스장","경상북도 봉화군 석포면 석포로 170-1 (영풍아파트)","","N","테니스장","경상북도 봉화군 석포면 석포리 460 영풍아파트","","X"
"경상남도","","N",32,"19999999","교육체육과","정상운영","자체운영        ","지자체","2021-07-26","양산시","실외","35.4842798938878","50504","","4fIaY3ffkoRDcs/wghlJVp9eufmPWxCIfmNqReewExk=","경상남도","테니스장","양산시","초산리","양산시","50504","055-392-7253","129.083116635206","2023-02-23","공공","경상남도","055-392-3403","(테니스장-06) 삼수권역체육공원","경상남도 양산시 하북면 충렬로 1699","","N","테니스장","경상남도 양산시 하북면 초산리 163","","X"
"경상남도","","N",33,"19999999","체육지원과","정상운영","위탁운영        ","지자체","2016-12-31","양산시","실내외","35.3485607445","50619",9328,"5nZLmKMx0PKaubQsBFe+yQVE1eKJmjI6Z6aBCxis//c=","경상남도","테니스장","양산시","북부동","양산시","50619","055-379-8530","129.0354973856","2023-02-23","공공","경상남도","055-392-3404","(테니스장-01) 양산종합운동장","경상남도 양산시 양산대로 849 (북부동)","","N","테니스장","경상남도 양산시 북부동 533 양산종합운동장","","N"
"경상북도","","N",34,"19999999","문화관광체육과","정상운영","자체운영        ","지자체","2023-04-14","봉화군","실외","36.9435353081869","","","","경상북도","테니스장","봉화군","현동리","봉화군","","054-679-6972","129.005042712895","2023-04-14","공공","경상북도","054-679-6644","소천테니스장","","","N","테니스장","경북 봉화군 소천면 현동리 1136","","X"
"경상남도","","N",35,"19999999","교육체육과","정상운영","자체운영        ","지자체","2016-12-31","양산시","실내외","35.4116158294769","50525",125,"34MLZHBM1SfxEJJs/ss1b7QRmnDYlZFhN+R2hXruDAI=","경상남도","테니스장","양산시","삼호동","양산시","50525","055-379-8574","129.182294632629","2023-02-23","공공","경상남도","055-392-3403","(테니스장-04) 서창운동장","경상남도 양산시 대운9길 16-85(삼호동)","","N","테니스장","경상남도 양산시 삼호동 157","","X"
"경상남도","","N",36,"19999999","교육체육과","정상운영","자체운영        ","지자체","2021-08-06","양산시","실외","36.49787652957536","50644","","kUW/X7KpHbUn0BkO+QlyTcjvLLQ3a0UvZ32KLZHH1g4=","경상남도","테니스장","양산시","내송리","양산시","50644","055-392-3404","127.26543401552541","2023-02-23","공공","경상남도","055-392-3403","(테니스장-10) 삽량체육공원","경상남도 양산시 동면 내송로 21[*미고시]","","N","테니스장","경상남도 양산시 동면 내송리 산70-8","","X"
"경상남도","","N",37,"19999999","체육지원과","정상운영","자체운영        ","지자체","2016-12-31","양산시","실외","35.3048509896","50639","","Aog6yPllSv2UeCWgeiil5D2diQg6jFL0W3rlW5X3DJE=","경상남도","테니스장","양산시","금산리","양산시","50639","055-379-8533","129.0198469027","2023-02-23","공공","경상남도","055-392-3404","(테니스장-02) 수질정화공원","경상남도 양산시 동면 강변로 54","","N","테니스장","경상남도 양산시 동면 금산리 1216-27","","N"
"경상남도","","N",38,"19999999","교육체육과","정상운영","자체운영        ","지자체","2021-07-26","양산시","실외","35.499827491857","50502","","2oe/vTyAgAwyxBzD+WPrc05Wk9rNAAkPXLOV28cnCW0=","경상남도","테니스장","양산시","지산리","양산시","50502","055-392-7253","129.080148858877","2023-02-23","공공","경상남도","055-392-3403","(테니스장-07) 하북지산","경상남도 양산시 하북면 지내마을길 18","","N","테니스장","경상남도 양산시 하북면 지산리 46-1 지내마을회관","","X"
"경기도","","N",39,"19990101","체육진흥과 체육시설팀","정상운영","자체운영        ","지자체","2021-07-14","화성시","실외","37.199537203472","18499","","/2otgE2re3CGMkPGqmoVKv2Bm24c9UDAZ+O0xkQIjGg=","경기도","테니스장","화성시","","화성시","18499","031-355-1292","126.831477350333","2023-04-04","공공","경기도","031-5189-6188","화성시청 테니스장","경기도 화성시 동탄대로47번길 18(장지동)","","N","테니스장","경기도 화성시 장지동 164-5","","X"
"경기도",0,"N",40,"19999999","환경구 하수관리과","정상운영","위탁운영        ","지자체","2016-12-19","수원시","실내외","37.2145189166","18358",8264,"ZfvHmK83VEzi1gmLk5lOns9wO2Juewq7ZFhqRDTVIPQ=","경기도","테니스장","수원시","송산동","화성시","18358","031-228-4302","127.0211309048","2023-03-29","공공","경기도","031-228-4301","화산체육공원","경기도 화성시 태안로 263 (송산동)","","N","테니스장","",0,"N"
"경기도","","N",41,"19999999","","정상운영","위탁운영        ","지자체","2022-12-07","","실외","37.1794058787361","18107","","tAP2MVWCCn8VSwtzmnZww4Zkv4Imoz7BJ5kYoc/zknM=","경기도","테니스장","오산시","세교동","오산시","18107","031-9134-1899","127.042126589869","2023-04-28","공공","경기도","","세교2 실외테니스장","경기도 오산시 수목원로 541(세교동)","","N","테니스장","경기도 오산시 세교동 627","","Y"
"경기도","","N",42,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","실외","37.224213079","","","n0JzEhYZcTU/YudqK+3xC1k8rc031F5td4p2UEcc1d8=","경기도","테니스장","화성시","","화성시","","","127.076390171","2020-07-27","공공","경기도","031-369-6273","테니스장(동학산공원(14호))","화성시 석우동 4","","N","테니스장","화성시 석우동 4","",""
"경기도","","N",43,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","실외","37.1666173549","","","p4UiQKeXv0WdsQl9TMzQjx4bLNknCN5/hP5Ju94EAKE=","경기도","테니스장","화성시","","화성시","","","126.70925444","2020-07-27","공공","경기도","031-369-6273","테니스장(서신생활체육시설)","화성시 서신면 매화리 276-3","","N","테니스장","화성시 서신면 매화리 276-3","",""
"","","N",44,"","안전행정과 체육팀","정상운영","자체운영        ","지자체","2018-01-24","강화군","실외","37.7455326428","417808","","ohSku2N/UGQmjg17J2x64VHKiZInK4Bpl0PbBepSJDs=","인천광역시","테니스장","강화군","","","","032-930-3228","126.5202469996","2020-07-27","공공","인천광역시","032-930-3228","강화클럽 테니스장","인천 강화군 강화읍 용정리 921-2","","N","테니스장","인천 강화군 강화읍 용정리 921-2","","N"
"경기도","","N",45,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","없음","37.2180054338","","","nTsntI1aFJF2fcnUy4PuY7ab5pOynPJIbpXr1E961fA=","경기도","테니스장","화성시","","화성시","","","127.031659509","2020-07-27","공공","경기도","031-369-6273","테니스장(진안공공공지)","화성시 진안동 933 ","","N","테니스장","화성시 진안동 933 ","",""
"경기도","","N",46,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","실외","37.220391564184176","18341","","BO0YjmOA9jOg+ITrzLST4uR2EDdG0RhwSm/na6X2aPY=","경기도","테니스장","화성시","배양동","화성시","18341","031-369-6273","126.98939992727061","2020-07-27","공공","경기도","031-369-6273","야생초공원(테니스장)","경기도 화성시 융건로 105 (배양동)","","N","테니스장","경기도 화성시 배양동 69-272","","X"
"경기도","","N",47,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","실외","37.22339939700556","18338","","iMdP05D62qAsnsevZxkkllrLNXcT4qhOLRTnB8bvJFQ=","경기도","테니스장","화성시","기안동","화성시","18338","031-369-6273","126.97746493707795","2020-07-27","공공","경기도","031-369-6273","해피트리공원(테니스장)","경기도 화성시 효행로291번길 24 (기안동)","","N","테니스장","경기도 화성시 기안동 910 신일해피트리아파트","","X"
"경기도","","N",48,"","","정상운영","자체운영        ","지자체","2017-12-18","화성시","없음","37.1702808725","","","vNxMVhBs6lB/DH8s5IHtSrxSdlAssLNFEQnQ0gv8+vc=","경기도","테니스장","화성시","","화성시","","","126.767087766","2020-07-27","공공","경기도","031-369-6273","테니스장(한화 바이오밸리)","화성시 마도면 청원리 1249","","N","테니스장","화성시 마도면 청원리 1249","",""
"인천광역시","","N",49,"","안전행정과 체육팀","정상운영","자체운영        ","지자체","2018-01-24","강화군","실외","37.7475260692","23023","","aAj/nbSvctnJq9LnPiEkstrZ+zgClRh6XX2eSBCUBoU=","인천광역시","테니스장","강화군","용정리","강화군","23023","032-930-3228","126.5221448686","2020-07-27","공공","인천광역시","032-930-3228","고인돌클럽 테니스장","인천광역시 강화군 강화읍 해안북로 155","","N","테니스장","인천광역시 강화군 강화읍 용정리 6-8 고인돌테니스장","","N"
"인천광역시","","N",50,"","안전행정과 체육팀","정상운영","자체운영        ","지자체","2018-01-24","강화군","실외","37.6352417294","23050","","qG03OAUVtWbuyFhg6jIcTAo4kxafCYE8wbrkGPdSTHg=","인천광역시","테니스장","강화군","온수리","강화군","23050","032-930-3228","126.4973784219","2020-07-27","공공","인천광역시","032-930-3228","강남 테니스장","인천광역시 강화군 길상면 길상로 244","","N","테니스장","인천광역시 강화군 길상면 온수리 605-26","","N"
"","","N",51,"","안전행정과 체육팀","정상운영","자체운영        ","지자체","2018-01-24","강화군","실외","37.776212061","417921","","0fFP3JLHqLteobqA7BvXqwmdotsavSFUhCNEolZMee4=","인천광역시","테니스장","강화군","","","","032-930-3228","126.3048339835","2020-07-27","공공","인천광역시","032-930-3228","교동테니스장","","","N","테니스장","인천 강화군 교동면 상용리 876-11","","N"
"경기도","","N",52,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","없음","37.0779556733","","","3UuZhV7ywbHK9KWevXJ7yMGipDeekFuxmGJNFWm965g=","경기도","테니스장","화성시","","화성시","","","126.83426591","2020-07-27","공공","경기도","031-369-6273","테니스장(장안남산체육공원)","화성시 장안면 사랑리 2-4","","N","테니스장","화성시 장안면 사랑리 2-4","",""
"경기도","","N",53,"20171218","","정상운영","자체운영        ","지자체","2017-12-18","화성시","없음","37.0763599284","","","ZFTgoqlaIFbHQu3QIanPRAz6aJtpQhUVhZE89JPtEiM=","경기도","테니스장","화성시","","화성시","","","126.791463672","2023-04-04","공공","경기도","031-369-6273","테니스장(조암 공공하수처리장)","화성시 우정읍 화산리 194","","N","테니스장","화성시 우정읍 화산리 194","",""
"","","N",54,"","안전행정과 체육팀","정상운영","자체운영        ","지자체","2018-01-24","강화군","실외","37.6646802753","417911","","fT6gUlS8QB8D/FGHm+zZSEwUV0TVR+2XObSiRAbBnzw=","인천광역시","테니스장","강화군","","","","032-930-3228","126.3489163684","2020-07-27","공공","인천광역시","032-930-3228","매음리 테니스장","","","N","테니스장","인천 강화군 삼산면 매음리 265-7","","N"
"경기도","","N",55,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","실외","37.2054732143","","","TrPhstUE0uooeu5iTBv0kQHuyNA4ca/M1H+OfUWvU0A=","경기도","테니스장","화성시","","화성시","","","127.106525062","2020-07-27","공공","경기도","031-369-6273","테니스장(동탄1호체육공원)","화성시 영천동 670-2","","N","테니스장","화성시 영천동 670-2","",""
"경기도","","N",56,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","없음","37.1334549837","","","tVj0CcuikzdKNnZ+iTHWr44/HrcY63PcFIlmFnlt2xs=","경기도","테니스장","화성시","","화성시","","","126.929026637","2020-07-27","공공","경기도","031-369-6273","테니스장(도원체육공원)","화성시 향남읍 행정리 478 ","","N","테니스장","화성시 향남읍 행정리 478 ","",""
"경기도","","N",57,"","안중출장소 사회복지과 문화체육팀","정상운영","자체운영        ","지자체","2017-12-17","평택시","실외","37.00693299563105","17819","","Lzbzjb+c3+whIvtKh4O2KI7GHSaNs7UGg6/iBpjCy4A=","경기도","테니스장","평택시","숙성리","평택시","17819","","126.9829220371611","2020-07-27","공공","경기도","031-8024-8242 ","오성 체육시설 테니스장","경기도 평택시 오성면 숙성시장길 54-7","","N","테니스장","","",""
"경기도","","N",58,"","안중출장소 사회복지과 문화체육팀","정상운영","자체운영        ","지자체","2017-12-17","평택시","실외","36.98937482546003","17816","","VYqMX/095qM2xDhwlQq1218D55OGdD/xwZeTqX/gLEg=","경기도","테니스장","평택시","현화리","평택시","17816","","126.91725832717019","2020-07-27","공공","경기도","031-8024-8242 ","안중 학현근린공원 테니스장","경기도 평택시 안중읍 서동대로 1489","","N","테니스장","","",""
"경기도","","N",59,"","안중출장소 사회복지과 문화체육팀","정상운영","자체운영        ","지자체","2017-12-17","평택시","실외","36.96324112574367","17962","","Xcn+JB6T5vL1a4aW9IVwDiCykL5jNFbuigJ4h8DM060=","경기도","테니스장","평택시","만호리","평택시","17962","","126.85049609551157","2020-07-27","공공","경기도","031-8024-8242 ","포승 만도체육시설 테니스장","경기도 평택시 포승읍 연암길 46 (만도아파트)","","N","테니스장","","",""
"경기도","","N",60,"","","정상운영","위탁운영        ","지자체","2017-12-18","화성시","없음","37.204011894","","","QRlBf/dHbYgRhnL51L4NTqH23OmQj7NW6d/5+XOTX+M=","경기도","테니스장","화성시","","화성시","","","127.06360471","2020-07-27","공공","경기도","031-369-6273","테니스장(동탄센트럴파크)","화성시 반송동 59  ","","N","테니스장","화성시 반송동 59  ","",""
