addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"대전광역시","N","",21,"20221226","정상운영","2023-03-15","없음","36.3366203009183","35293",248,"","","골프","서구","괴정동","35293","042-535-0210","127.378636354341","2023-03-15","신고","대전광역시","경성지티에스골프 아카데미","대전광역시 서구 갈마로 209(괴정동)","Y","가상체험 체육시설업","대전광역시 서구 괴정동 110-9 미광빌딩"
"대전광역시","N","",22,"20220203","정상운영","2023-03-15","없음","36.3528905643781","35240",476,"","","골프","서구","둔산동","35240","","127.388135047229","2023-03-15","신고","대전광역시","3콘즈(3CONS)","대전광역시 서구 둔산중로72번길 26(둔산동)","Y","가상체험 체육시설업","대전광역시 서구 둔산동 1475"
"대전광역시","N","",23,"20220203","정상운영","2023-03-15","없음","36.3528905643781","35240",457,"","","골프","서구","둔산동","35240","","127.388135047229","2023-03-15","신고","대전광역시","펏뷰(Putt view)","대전광역시 서구 둔산중로72번길 26(둔산동)","Y","가상체험 체육시설업","대전광역시 서구 둔산동 1475"
"대전광역시","N","",24,"20220609","정상운영","2023-03-15","없음","36.3510143421302","35250",319,"","","골프","서구","둔산동","35250","","127.398450581455","2023-03-15","신고","대전광역시","센트럴 GDR 골프 아카데미","대전광역시 서구 둔산로 220(둔산동)","Y","가상체험 체육시설업","대전광역시 서구 둔산동 1836"
"대전광역시","N","",25,"20221228","정상운영","2023-03-15","없음","36.3507954685317","35230",470,"","","골프","서구","둔산동","35230","042-721-5353","127.37554288816","2023-03-15","신고","대전광역시","프렌즈스크린 둔산타임월드점","대전광역시 서구 둔지로 11(둔산동)","Y","가상체험 체육시설업","대전광역시 서구 둔산동 1077 트라이얼스타"
"대전광역시","N","",26,"20220629","정상운영","2023-03-15","없음","36.3595789492437","35219",347,"","","골프","서구","월평동","35219","","127.374996356553","2023-03-15","신고","대전광역시","QED골프 아카데미(월평점)","대전광역시 서구 청사서로 11(월평동, 무지개아파트)","Y","가상체험 체육시설업","대전광역시 서구 월평동 300 무지개아파트"
"대전광역시","N","",27,"20221229","정상운영","2023-03-15","없음","36.3064766595711","35369",476,"","","골프","서구","도안동","35369","042-719-8856","127.355205585361","2023-03-15","신고","대전광역시","에스지골프 도안호수공원점","대전광역시 서구 도안동로12번길 42(도안동)","Y","가상체험 체육시설업","대전광역시 서구 도안동 2062"
"대전광역시","N","",28,"20230116","정상운영","2023-03-15","없음","36.3064766595711","35369",476,"","","골프","서구","도안동","35369","042-719-8856","127.355205585361","2023-03-15","신고","대전광역시","에스지골프연습장 도안호수공원점","대전광역시 서구 도안동로12번길 42(도안동)","Y","가상체험 체육시설업","대전광역시 서구 도안동 2062"
"대전광역시","N","",29,"20220510","정상운영","2023-03-15","없음","36.3073011518925","35365",300,"","","골프","서구","관저동","35365","","127.341157141043","2023-03-15","신고","대전광역시","브래그 골프 GDR","대전광역시 서구 관저동로 170(관저동)","Y","가상체험 체육시설업","대전광역시 서구 관저동 1896 건양 타워"
"대전광역시","N","",30,"20220511","정상운영","2023-03-15","없음","36.3073011518925","35365",336,"","","골프","서구","관저동","35365","","127.341157141043","2023-03-15","신고","대전광역시","브래그 골프존","대전광역시 서구 관저동로 170(관저동)","Y","가상체험 체육시설업","대전광역시 서구 관저동 1896 건양 타워"
"대전광역시","N","",31,"20220809","정상운영","2023-03-15","없음","36.2958388933103","35370",361,"","","골프","서구","관저동","35370","","127.325782073188","2023-03-15","신고","대전광역시","왓쳐 큐이디 골프 아카데미","대전광역시 서구 관저로 17(관저동)","Y","가상체험 체육시설업","대전광역시 서구 관저동 1958-2"
"대전광역시","N","",32,"20221205","정상운영","2023-03-15","없음","36.3025446163471","35362",3362,"","","골프","서구","관저동","35362","042-544-1577","127.33371801988","2023-03-15","신고","대전광역시","솔올 대전지점","대전광역시 서구 봉우로8번길 23(관저동)","Y","가상체험 체육시설업","대전광역시 서구 관저동 1735"
"대전광역시","N","",33,"20230213","정상운영","2023-03-15","없음","36.367637213666","35203",1223,"","","골프","서구","만년동","35203","042-487-0707","127.380646878038","2023-03-15","신고","대전광역시","프렌즈스크린 대전만년점","대전광역시 서구 만년로 69(만년동)","Y","가상체험 체육시설업","대전광역시 서구 만년동 337"
"전라남도","N","",34,"20230116","정상운영","2023-02-28","없음","34.9623293180735","57939",410,"","","골프","순천시","매곡동","57939","061-751-3633","127.487923571622","2023-02-28","신고","전라남도","골프존파크 매곡강변점","전라남도 순천시 강변로 861(매곡동)","Y","가상체험 체육시설업","전라남도 순천시 매곡동 10-27"
"전라남도","N","3,4층 (왕지동)",35,"20230223","정상운영","2023-02-28","실내","34.9748482179428","57931",642,"3,4층 (왕지동)","","골프","순천시","왕지동","57931","061-722-0079","127.535343788548","2023-02-28","신고","전라남도","골프존파크 법원점","전라남도 순천시 왕지로 142(왕지동)","Y","가상체험 체육시설업","전라남도 순천시 왕지동 426-6"
"경기도","N","",36,"20211104","정상운영","2021-11-09","없음","37.3643948114297","13558",0,"","ts7fs/azvfcDJEVYh+ouhIU3WLSmg8smJ4iuNuSqdFs=","골프","성남시","정자동","13558","031-000-000","127.10769641858","2023-01-30","신고","경기도","더 라운지 스크린골프","경기도 성남시 분당구 성남대로331번길 3-13(정자동)","Y","가상체험 체육시설업","경기도 성남시 분당구 정자동 156-3 대명제스트빌딩"
"전라남도","N","",37,"20230118","정상운영","2023-02-28","없음","34.958720946749","57931",806,"","","골프","순천시","조례동","57931","061-725-0755","127.53052855617","2023-02-28","신고","전라남도","골프존파크 조례대박점","전라남도 순천시 조례연동길 73-4(조례동)","Y","가상체험 체육시설업","전라남도 순천시 조례동 357-66"
"경기도","N","",38,"20170602","정상운영","2023-02-06","실내","","11770","","304,305호 (낙양동)","","골프","의정부시","낙양동","11770","","","2023-04-27","신고","경기도","SG마스터스 스크린골프","경기도 의정부시 용민로 313, 304,305호 (낙양동)","Y","가상체험 체육시설업","경기도 의정부시 낙양동 721-3 "
"경기도","N","1층 108.116.122호",39,"20220812","정상운영","2023-01-26","없음","37.3401906166844","16824",179,"1층 108.116.122호","dXcf/z525GgNKBWRz2l3jHi0xevyFWd8DnYCC4P8bOI=","골프","용인시","동천동","16824","031-326-0905","127.092876981329","2023-01-31","신고","경기도","프렌즈 아카데미 수지동천점","경기도 용인시 수지구 고기로45번길 40(동천동, 한화 포레나 수지동천)","Y","가상체험 체육시설업","경기도 용인시 수지구 동천동 349-10 한화 포레나 수지동천"
"경기도","N","",40,"20220718","정상운영","2023-02-02","없음","37.6144952083237","10113",308,"","VgprwDqeQJOxU74G9I4FQ4deAKavoAOQ3rITHkQuFhk=","골프","김포시","사우동","10113","031-998-9788","126.725597268822","2023-02-02","신고","경기도","폴(POL)골프아카데미","경기도 김포시 풍무로 218(사우동)","Y","가상체험 체육시설업","경기도 김포시 사우동 407-49"
"경기도","N","",41,"20221223","정상운영","2023-02-01","없음","37.6223050575793","10104",485,"","oOUA96FvAJLu07UBLNhjMuoJXivtZnnPX95nUxnizj4=","골프","김포시","감정동","10104","","126.699670102646","2023-02-01","신고","경기도","프렌즈스크린 김포 감정점","경기도 김포시 중봉1로 12(감정동)","Y","가상체험 체육시설업","경기도 김포시 감정동 551-8 이삼메디칼센타"
"경기도","N","",42,"20220926","정상운영","2023-02-01","없음","37.6071713583914","10113",302,"","Z5GiS5clNC/dVgVRmhf9vw2B437u6qFvhrgPB61Mu8c=","골프","김포시","풍무동","10113","","126.724166858025","2023-02-01","신고","경기도","지수골프","경기도 김포시 풍무로146번길 14(풍무동)","Y","가상체험 체육시설업","경기도 김포시 풍무동 949"
"경기도","N","",43,"20220926","정상운영","2023-02-01","없음","37.6071713583914","10113",302,"","AeqiJGv4UyxmNUWg+W69+sou5h7XjaFAZ0mrVG2Nu5c=","골프","김포시","풍무동","10113","","126.724166858025","2023-02-01","신고","경기도","더블유 에스케이","경기도 김포시 풍무로146번길 14(풍무동)","Y","가상체험 체육시설업","경기도 김포시 풍무동 949"
"경기도","N","",44,"20221228","정상운영","2023-02-01","없음","37.6455900729664","10071",476,"","H1z2Vimaa/uLZvQRuiLJZujLVw6rorjPFKeHkI9PRKo=","골프","김포시","구래동","10071","031-981-0633","126.624896928566","2023-02-01","신고","경기도","브라보스크린골프","경기도 김포시 김포한강4로 531(구래동)","Y","가상체험 체육시설업","경기도 김포시 구래동 6879-2"
"경기도","N","",45,"20220922","정상운영","2023-02-01","없음","37.7137531280245","10010",479,"","mi1JsK8R5sgy9Rl/fbCK8WgLoENY64/lN0cUcx3PkeI=","골프","김포시","귀전리","10010","","126.610170636617","2023-02-01","신고","경기도","황금스크린골프","경기도 김포시 통진읍 월하로479번길 32-47","Y","가상체험 체육시설업","경기도 김포시 통진읍 귀전리 448-14"
"경기도","N","힐스테이트 미사역 그랑파사쥬(12-1BL)",46,"20230222","정상운영","2023-04-02","없음","0","12913",495,"힐스테이트 미사역 그랑파사쥬(12-1BL) 2008호 (망월동)","","골프","하남시","","12913","","0","2023-04-02","신고","경기도","메가나인 스크린골프 연습장","경기도 하남시 미사강변동로 95 (망월동)","Y","가상체험 체육시설업","경기도 하남시 망월동 1100 힐스테이트 미사역 그랑파사쥬(12-1BL)"
"경기도","N","",47,"20230109","정상운영","2023-02-01","없음","37.6484073404925","10058",457,"","Xjs3/E/CniV+T0agPB4XXxRU3RbQYx//mMGw9SM+XUo=","골프","김포시","구래리","10058","031-992-0881","126.61823952168","2023-02-01","신고","경기도","김포양촌점 프렌즈스크린","경기도 김포시 양촌읍 구래로26번길 12","Y","가상체험 체육시설업","경기도 김포시 양촌읍 구래리 259-2"
"경기도","N","미사강변 스카이폴리스",48,"20230201","정상운영","2023-04-02","없음","37.57657762204","12902",378,"미사강변 스카이폴리스 B121호 (망월동)","","골프","하남시","","12902","031-5175-0122","127.19204652447","2023-04-02","신고","경기도","골프존파크스카이","경기도 하남시 미사강변한강로 135 (망월동)","Y","가상체험 체육시설업","경기도 하남시 망월동 834 미사강변 스카이폴리스"
"경기도","N","미사강변 스카이폴리스",49,"20230201","정상운영","2023-04-02","없음","37.57657762204","12902",335,"미사강변 스카이폴리스 B120호","","골프","하남시","","12902","031-792-0121","127.19204652447","2023-04-02","신고","경기도","골프존파크폴리스","경기도 하남시 미사강변한강로 135 (망월동)","Y","가상체험 체육시설업","경기도 하남시 망월동 834 미사강변 스카이폴리스"
"경기도","N","",50,"20230118","정상운영","2023-04-02","없음","37.5551260003851","12919",937,"5층 501호 (풍산동)","","골프","하남시","","12919","031-8027-0879","127.18740377899","2023-04-02","신고","경기도","주차편한 프렌즈스크린 미사주차빌딩점","경기도 하남시 미사강변대로54번길 15 (풍산동)","Y","가상체험 체육시설업","경기도 하남시 풍산동 518"
"경기도","N","1층",51,"20220617","정상운영","2023-02-13","없음","37.035165799128","17556",360,"1층","","골프","안성시","외가천리","17556","","127.127945178462","2023-02-14","신고","경기도","필 스크린골프","경기도 안성시 원곡면 만세로 1415-24","Y","가상체험 체육시설업","경기도 안성시 원곡면 외가천리 252-1"
"경기도","N","삼성타워 3층 304,305,306호",52,"20190115","정상운영","2020-10-21","실내","37.2722147478422","17006",351,"삼성타워 3층 304,305,306호","xqX1uMHiqyHoCS2bxA5ZeYbMUk5ce49aBIKQ0DUJ13M=","골프","용인시","중동","17006","","127.151005407332","2023-03-15","신고","경기도","QED골프아카데미","경기도 용인시 기흥구 동백중앙로 213 (중동)","Y","가상체험 체육시설업","경기도 용인시 기흥구 중동 847 삼성타워"
"경기도","N","동탄센트럴에이스타워",53,"20211115","정상운영","2022-11-25","없음","","18469",423,"동탄센트럴에이스타워 219~226호 (영천동)","9rQoS46I4bpAdBCUe+sfYjTwLOmpsnUziRkune9A488=","골프","화성시","영천동","18469","031-373-7691","","2023-03-15","신고","경기도","JS골프아카데미","경기도 화성시 동탄기흥로 590, 동탄센트럴에이스타워 219~226호 (영천동)","Y","가상체험 체육시설업","경기도 화성시 영천동 837 동탄센트럴에이스타워 "
"경상남도","N","A/B동 1/2층",54,"20170710","정상운영","2017-07-11","실내","35.2214388912","50964",280,"A/B동 1/2층","OCnzM1WgVimCD22AiowaErvYa7whrmO/7wngJYaZHD8=","골프","김해시","흥동","50964","055-334-6900","128.8668249229","2023-03-15","신고","경상남도","신세계스크린골프","경상남도 김해시 전하로 169 (흥동)","Y","가상체험 체육시설업","경상남도 김해시 흥동 419-16"
"전라남도","N","중서빌딩",55,"20230220","정상운영","2023-02-28","실내","34.9518439423746","57967",243,"중서빌딩 1층 (연향동)","","골프","순천시","","57967","061-722-5777","127.516631942106","2023-02-28","신고","전라남도","베스트 프렌즈 스크린","전라남도 순천시 충효로 148(연향동)","Y","가상체험 체육시설업","전라남도 순천시 연향동 1317-3 중서빌딩"
"충청북도","N","",56,"20170920","정상운영","2023-02-02","없음","0","27355",342,"(칠금동)","XcsXew3FeFDq8qy0s5wXXlQWZFuj5BqU4kUfbGHWc5c=","골프","충주시","","27355","043-846-5050","0","2023-02-03","신고","충청북도","중원스크린골프","충청북도 충주시 칠금12길 8(칠금동)","N","가상체험 체육시설업","충청북도 충주시 칠금동 584"
"충청북도","N","",57,"20230202","정상운영","2023-02-03","없음","0","28629",305,"주1동 2층 (산남동)","1U3RcIPGxOPDKM3YJc1Ce9Ybk6bnhpRfS1A1AOPH5WM=","골프","청주시","","28629","043-296-8350","0","2023-02-03","신고","충청북도","케이(K) 스크린골프","충청북도 청주시 서원구 산미로 95(산남동)","Y","가상체험 체육시설업","충청북도 청주시 서원구 산남동 47-3"
"충청북도","N","두꺼비빌딩",58,"20230120","정상운영","2023-02-03","없음","36.6118999528339","28625",301,"701호 (산남동)","g7lo7TRXbYS/oYe6Bmw3tg70FEmjUrBKbau9AzJ0POI=","골프","청주시","","28625","","127.466949400068","2023-02-03","신고","충청북도","가나골프연습장","충청북도 청주시 서원구 산남로62번길 15(산남동)","Y","가상체험 체육시설업","충청북도 청주시 서원구 산남동 588 두꺼비빌딩"
"충청남도","N","",59,"20230328","정상운영","2023-04-26","실내","36.6171556235249","32217",573,"201호","","골프","홍성군","","32217","041-631-0753","126.664862073993","2023-04-26","신고","충청남도","골프존파크 홍성내포골프존","충청남도 홍성군 홍성읍 도청대로 140","Y","가상체험 체육시설업","충청남도 홍성군 홍성읍 내법리 409-12"
"서울특별시","N","",60,"20220429","정상운영","2023-02-06","없음","37.4559047301733","08627",429,"","","골프","금천구","시흥동","08627","","126.905519743115","2023-02-06","신고","서울특별시","금천 프렌즈 스크린","서울특별시 금천구 독산로 95-1(시흥동)","Y","가상체험 체육시설업","서울특별시 금천구 시흥동 842-4"
"경기도","N","",61,"20220707","정상운영","2022-10-19","실내","37.2285884603686","17403",1615,"","ckXgs14o+4Ilw064asGGr5pYDWWqwawtQmduwKgfBK8=","골프","이천시","","17403","","127.513124347916","2023-02-28","신고","경기도","거산 스크린골프 연습장","경기도 이천시 대월면 경충대로1687번길 192","Y","가상체험 체육시설업","경기도 이천시 대월면 부필리 401-1"
"대구광역시","N","3~5층",62,"20230323","정상운영","2023-04-03","없음","35.8970677427656","41536",1239,"3~5층","","골프","북구","산격동","41536","053-964-6000","128.609915343243","2023-04-03","신고","대구광역시","골프존파크 산격스타점","대구광역시 북구 대동로 30 (산격동)","Y","가상체험 체육시설업","대구광역시 북구 산격동 1266-1"
"경기도","N","",63,"20220311","정상운영","2022-11-10","실외","37.0069724128893","17926",368,"","hF/PJDr9PvKj/UkAj1NnG4WMa5nBymRdqTuj0Msx/IA=","골프","평택시","죽리","17926","","126.970317024892","2023-02-04","신고","경기도","골프존파크(오성 아울렛점)","경기도 평택시 오성면 서동대로 2050","Y","가상체험 체육시설업","경기도 평택시 오성면 죽리 7-10"
"부산광역시","N","",64,"20230313","정상운영","2023-04-06","없음","35.2382739711584","46069",785,"3,4층","","골프","기장군","대라리","46069","","129.21310400922","2023-04-06","신고","부산광역시","하나스크린골프","부산광역시 기장군 기장읍 차성로 233","Y","가상체험 체육시설업","부산광역시 기장군 기장읍 대라리 146-9"
"경기도","N","",65,"20230215","정상운영","2023-03-08","없음","37.6109338548668","12284",365,"","","골프","남양주시","","12284","031-567-7049","127.16881199695","2023-03-09","신고","경기도","카카오프렌즈 다산리더스점","경기도 남양주시 경춘로 508-4(다산동)","N","가상체험 체육시설업","경기도 남양주시 다산동 6193-1"
"대구광역시","N","",66,"20100318","폐업","2016-11-07","실내외","35.8580848556","711815",733,"","OwD5BJ9TDHAYBm/dTZn/AO9KYoAxBK4+MaUcyx/cAr0=","골프","달성군","","711815","053-587-5500","128.461734121","2023-04-26","신고","대구광역시","사계절 J스크린","대구광역시 달성군 다사읍 달구벌대로174길 21","Y","가상체험 체육시설업","대구 달성군 다사읍 달구벌대로174길 21"
"경기도","N","미사강변 오벨리스크 3층 339~341호 (망월동)",67,"20230227","정상운영","2023-04-02","없음","37.5669148058169","12912",349,"미사강변 오벨리스크 3층 339~341호 (망월동)","","골프","하남시","망월동","12912","","127.196654716027","2023-04-03","신고","경기도","25시 무인골프","경기도 하남시 미사대로 410 (망월동)","Y","가상체험 체육시설업","경기도 하남시 망월동 1143-1 미사강변 오벨리스크"
"경기도","N","GS타워 7층",68,"20211022","정상운영","2022-07-05","없음","37.2760139336856","16498",0,"GS타워 7층","daIUSk4ihSdv8KQ2+UK1VSM6G1NlvkLMAXIMcnq5IJo=","골프","수원시","우만동","16498","031-302-6460","127.041418712982","2023-02-07","신고","경기도","골프존파크 우만 아주대마리엘점","경기도 수원시 팔달구 중부대로 229(우만동)","Y","가상체험 체육시설업","경기도 수원시 팔달구 우만동 89-5"
"부산광역시","N","비케이빌딩",69,"20100513","정상운영","2017-02-24","실내","","48314",718,"비케이빌딩 6~7층 (남천동)","ZyWSDc27wHFgSJC66GCcrfaNJuqxWbHWBpTtcZ+bzek=","골프","수영구","남천동","48314","","","2023-03-01","신고","부산광역시","비케이스크린골프","부산광역시 수영구 광남로 31, 비케이빌딩 6~7층 (남천동)","Y","가상체험 체육시설업","부산광역시 수영구 남천동 27-8 비케이빌딩 "
"경기도","N","",70,"20201229","정상운영","2020-12-30","없음","37.1814671941152","18101",396,"","KpiVjLrqYe/vfJquoMOastQtRiAL/Ddsn44YX44Ctgc=","골프","오산시","양산동","18101","031-372-3192","127.005503847836","2023-02-07","신고","경기도","프렌즈 스크린 양산점","경기도 오산시 양산로 101 (양산동)","Y","가상체험 체육시설업","경기도 오산시 양산동 607"
"경기도","N","우평 라비엔빌딩 806,807,808호 (은행동)",71,"20221229","정상운영","2023-02-07","없음","37.4448383730916","14923",464,"우평 라비엔빌딩 806,807,808호 (은행동)","","골프","시흥시","은행동","14923","031-404-2645","126.803150952701","2023-02-07","신고","경기도","케이케이(KK) 프렌즈 스크린","경기도 시흥시 은계로 260(은행동)","Y","가상체험 체육시설업","경기도 시흥시 은행동 611 우평 라비엔빌딩"
"경기도","N","",72,"20230201","정상운영","2023-02-07","없음","37.6566806582333","12094",297,"","","골프","남양주시","별내동","12094","031-553-6628","127.131324017663","2023-02-08","신고","경기도","백라이프","경기도 남양주시 송산로170번길 18(별내동)","Y","가상체험 체육시설업","경기도 남양주시 별내동 25-9"
"경기도","N","",73,"19999999","정상운영","2023-01-30","실외","37.3679744610948","","","","/kDh/dkv80prsjiXV9WLdmF/c9ujgMvziJJns0Yrc6Q=","골프장","시흥시","능곡동","","031-310-3159","126.813802829281","2023-01-30","공공","경기도","능곡 중앙공원 그라운드 골프장","","N","골프장","경기 시흥시 능곡동 766"
