addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경상남도","N","",11,"19999999","정상운영","위탁운영        ","2023-03-15","실내","35.2497580916534","51244","","","","수영장","창원시","중리","창원시 마산회원구","51244","055-225-3734","128.521546995461","2023-03-15","공공","경상남도","내서스포츠센터수영장","경상남도 창원시 마산회원구 내서읍 호원로 177","N","수영장","경상남도 창원시 마산회원구 내서읍 중리 391-3 내서 스포츠센터"
"강원도","N","",12,"20161231","정상운영","자체운영        ","2016-12-31","실외","37.652336805","250751",2696,"","3B+slH89muTWhCqkfcv5WXQCzVo/AHS0rNO67soN1qk=","실외","홍천군","","홍천군","250751","","127.687332873","2023-02-01","신고","강원도","인피니티풀","서면 한치골길 262","N","수영장업","강원 홍천군 서면 한치골길 262"
"강원도","N","",13,"20020615","정상운영","","2016-12-31","실외","37.8105127575","200914",5494,"","ArRlkH0BkUM4x8fGQ/fgu6EhhCWDqtVuVZwWR4Z6Sts=","실외","춘천시","","춘천시","200914","033-260-2857","127.57336529","2023-02-04","신고","강원도","엘레시안강촌수영장","춘천시 남산면 서백길 506","N","수영장업","강원 춘천시 남산면 서백길 506"
"전라남도","N","",14,"20190712","정상운영","자체운영        ","2021-08-18","없음","34.4007603712975","58936",2298,"","VAT5/xkYyKT3Io0SXGF8RGWPzzLUITJaVOUUpMPqj5I=","실외","진도군","초사리","진도군","58936","","126.326314042717","2023-01-28","신고","전라남도","쏠비치 호텔앤 리조트 진도 인피니터풀","전라남도 진도군 의신면 송군길 30-40","N","수영장업","전라남도 진도군 의신면 초사리 1204"
"전라남도","N","",15,"20090820","정상운영","자체운영        ","2016-12-31","실외","34.6983220416","526871",610,"","FL2zkGZfuYRGVoW7b8Cdh/ZfthpNphwdvM0ygihVobk=","실외","영암군","","영암군","526871","","126.625570998","2023-05-05","신고","전라남도","삼락정 랜드","영암군 학산면 학계길 93","N","수영장업",""
"","N","",16,"20120402","정상운영","자체운영        ","2016-11-07","실내","35.8591793513","706820",367,"지하1층","8ift6Xfm4mqEvePICzjkYvHsrczCDYKYC9c+7Rd9XYk=","실내","수성구","","","706820","053-745-7333","128.63520355","2023-05-11","신고","대구광역시","(주)씨유컴퍼니 아쿠아키즈(범어)","대구광역시 수성구 달구벌대로 2491 (범어동)","N","수영장업",""
"경기도","N","",17,"20070720","정상운영","","2023-02-02","없음","37.6152686898333","10075",2230,"","+hbG+oedULO8c8bVpe3Ds7Pj61QCeG+u8bHnVfKTBUg=","실내","김포시","걸포동","김포시","10075","987-7524","126.715657922927","2023-02-02","신고","경기도","아이리버 수영장","경기도 김포시 걸포로 152-20(걸포동)","Y","수영장업","경기도 김포시 걸포동 4-52"
"서울특별시","N","",18,"19999999","정상운영","위탁운영        ","2023-02-14","실내","37.6459890891427","01012","","","","수영장","","수유동","강북구","01012","02-6715-6606","127.006405787731","2023-05-04","공공","서울특별시","강북청소년센터 수영장","서울특별시 강북구 4.19로 74(수유동)","N","수영장","서울특별시 강북구 수유동 535-380 시립강북청소년센터"
"제주특별자치도","N","",19,"20200413","정상운영","자체운영        ","2020-06-30","실내","33.26830610711","63579",696,"","LNc2WeAHNYalPr1H6L9zbnknnRaD+wfS6Ox+QhGggTk=","실내","서귀포시","동홍동","서귀포시","63579","064-732-5248","126.565015632001","2023-02-14","신고","제주특별자치도","서귀포 홍리 실내수영장","제주특별자치도 서귀포시 지장샘로182번길 149 (동홍동)","N","수영장업","제주특별자치도 서귀포시 동홍동 1780-1"
"경기도","N","",20,"20190328","정상운영","","2019-05-09","실내","37.29147651366289","16512",386,"원희캐슬 광교 C동 B01호","2reIQZ2zZzqGF6icecJhr8bjaedb9/rhXKdgUTqq1iY=","실내","수원시","하동","수원시","16512","","127.06646610628336","2023-04-27","신고","경기도","오션서퍼 광교점","경기도 수원시 영통구 광교중앙로248번길 7-2 (하동)","N","수영장업","경기도 수원시 영통구 하동 989 원희캐슬 광교"
"강원도","N","강원도 영월군 영월읍 하송리 56",21,"20120503","정상운영","자체운영        ","2016-11-07","실내","37.17778575004723","26237",1616,"강원도 영월군 영월읍 하송리 56","eEfXRudQ3AerO+z6fl/FBWoevE8fUiIX3ZqFipstshM=","수영장","영월군","하송리","영월군","26237","NaN","128.46264418790582","2023-03-10","공공","강원도","영월국민체육센터","강원도 영월군 영월읍 제방안길 100","N","수영장","강원도 영월군 영월읍 하송리 56 영월스포츠파크"
"경기도","N","",22,"20170523","정상운영","자체운영        ","2017-07-12","실내","37.331980448565496","16876",0,"","yugMfa8qOdG0/7TkRPagMrIIJf3jLBYHc0qJ6s7WaoQ=","실내","용인시","죽전동","용인시 수지구","16876","031-272-9002","127.12392689826939","2023-04-27","신고","경기도","(주)아이풀 죽전점","경기도 용인시 수지구 현암로 131 (죽전동)","N","수영장업","경기도 용인시 수지구 죽전동 1178-3 C.H리베로II"
"서울특별시","N","",23,"19999999","정상운영","위탁운영        ","2023-02-14","실내","37.5872413382227","02462","","","","수영장","","청량리동","동대문구","02462","070-8824-4478","127.049826506747","2023-02-15","공공","서울특별시","동대문청소년센터","서울특별시 동대문구 제기로33길 25(청량리동)","N","수영장","서울특별시 동대문구 청량리동 11-1 동대문노인종합복지관, 청소년수련관"
"서울특별시","N","",24,"19999999","정상운영","위탁운영        ","2023-02-03","없음","37.4913197035995","08309","","","ATdWzn8Q4GfuRSHWWSmF3DuQ9Rhg+3pq7s5hVezRi5M=","수영장","","구로동","구로구","08309","","126.883399005517","2023-02-03","공공","서울특별시","구로청소년센터수영장","서울특별시 구로구 구로동로 141(구로동)","N","수영장","서울특별시 구로구 구로동 704-12 구로청소년수련관, 구로2동주민센터"
"경기도","N","지하1층 (능동, 세란메디빌딩)",25,"20140224","정상운영","자체운영        ","2017-12-15","실내","37.19983476637256","18429",360,"지하1층 (능동, 세란메디빌딩)","tg15gGU05PfjFjSM4YsaiPrSboOntqP5IIVfYISC00g=","실내","화성시","능동","화성시","18429","031-8015-3515","127.05618496970136","2023-04-27","신고","경기도","(주)아이풀 동탄점","경기도 화성시 10용사로 349-7 (능동)","N","수영장업","경기도 화성시 능동 1152-2"
"서울특별시","N","",26,"19999999","정상운영","위탁운영        ","2023-02-15","실내","37.5307193896791","07991","","","","수영장","","목동","양천구","07991","02-6738-9607","126.875498624742","2023-02-15","공공","서울특별시","목동청소년센터","서울특별시 양천구 목동서로 143(목동)","N","수영장","서울특별시 양천구 목동 918 시립목동청소년센터"
"전라북도","N","",27,"20100318","정상운영","자체운영        ","2017-01-31","실내","35.73085388111952","56306","","","aTbBi3/8M4GK7lWY4ZXQkKR0eD75CSimf5xAqT4jHh4=","수영장","부안군","동중리","부안군","56306","","126.73711484026088","2023-03-14","공공","전라북도","부안국민체육센터","전라북도 부안군 부안읍 석정로 165","N","수영장","전라북도 부안군 부안읍 동중리 99-8 부안군민체육센터"
"경상남도","N","",28,"19999999","정상운영","위탁운영        ","2023-02-03","없음","35.2219848625101","51323","","","P52LcJeqxxeSiZV4Lpts7Nz2uJtgHcs9KTfjdAdYp4A=","수영장","창원시","양덕동","창원시 마산회원구","51323","","128.579580117268","2023-02-03","공공","경상남도","올림픽기념관","경상남도 창원시 마산회원구 삼호로 63(양덕동)","N","수영장","경상남도 창원시 마산회원구 양덕동 477 마산종합운동장"
"강원도","N","청강수영사우나",29,"20221102","정상운영","","2022-12-05","없음","0","24013",300,"청강수영사우나","O2Wqt1Kw+VnzFn6ZQ8sUpn/HtXV5C6iZz5+NUSmIiUk=","실내","철원군","","철원군","24013","033-455-5007","0","2023-03-23","신고","강원도","플레이미 금학산 수영장","강원도 철원군 동송읍 이평로111번길 28-1","N","수영장업","강원도 철원군 동송읍 이평리 861-148 청강수영사우나"
"대전광역시","N","",30,"20160616","정상운영","","2023-03-23","없음","","35402",1037,"(도마동, 도마실국민체육센터)","","실내","서구","","서구","35402","042-582-5556","","2023-03-24","신고","대전광역시","도마실 국민체육센터","대전광역시 서구 유등로 235 (도마동, 도마실국민체육센터)","Y","수영장업","대전광역시 서구 도마동 567 "
"경기도","N","",31,"20180622","정상운영","자체운영        ","2018-06-29","실외","37.7756493815","11766",219,"","n8/wkM7cwPy/v2UZ5usdlm8sq/woglp2DJGWq+LQB5Q=","실외","의정부시","자일동","의정부시","11766","","127.1133628856","2023-02-15","신고","경기도","투엔디","경기도 의정부시 호국로 1984 (자일동)","N","수영장업","경기도 의정부시 자일동 98-18"
"경상남도","N","",32,"20181001","정상운영","","2018-12-26","실내외","35.0078893135","53200",2727,"","D1omqziaPNydOP3bple90L1DsQTFx4eC64Na3d14ECM=","실내","거제시","농소리","거제시","53200","","128.7121187321","2023-04-04","신고","경상남도","한화리조트거제벨버디어 수영장","경상남도 거제시 장목면 거제북로 2501-40","N","수영장업","경상남도 거제시 장목면 농소리 25 한화리조트 거제 벨버디어"
"부산광역시","N","지하",33,"20170929","정상운영","자체운영        ","2018-11-05","실내","35.2038697228","48037",1466,"THE 스포츠 센터지하","oxX60WSS+OJJyP0N/0McsVgbEr0ExT8GGenyJSag0r0=","실내","해운대구","반여동","해운대구","48037","051-521-7100","129.121679975","2023-02-16","신고","부산광역시","The 스포츠센터","부산광역시 해운대구 선수촌로 122 (반여동, 아시아선수촌아파트)","N","수영장업","부산광역시 해운대구 반여동 1638 아시아선수촌아파트"
"경기도","N","드림타워 B101호",34,"20190405","정상운영","자체운영        ","2019-05-10","실내","37.24698249417175","16682",389,"드림타워 B101호","71VFl9SVZ5tz8NZItXmYYBgzAHXDAwlLhbIJPtehm8Y=","실내","수원시","신동","수원시","16682","031-204-6777","127.04472349273843","2023-04-01","신고","경기도","(주)노블","경기도 수원시 영통구 권선로908번길 47 (신동)","N","수영장업","경기도 수원시 영통구 신동 937-4"
"경상북도","N","",35,"19999999","정상운영","자체운영        ","2023-03-03","실내","36.8961228152199","36236","","","","수영장","봉화군","해저리","봉화군","36236","054-679-6983","128.728182601073","2023-03-03","공공","경상북도","봉화국민체육센터 수영장","경상북도 봉화군 봉화읍 봉화로 1111-105","N","수영장","경상북도 봉화군 봉화읍 해저리 산4-7 봉화국민체육센터"
"대전광역시","N","",36,"20060814","정상운영","","2023-03-23","없음","36.3037791474272","35392",1198,"","","실내","서구","정림동","서구","35392","582-2770","127.36288842982","2023-03-24","신고","대전광역시","서구국민체육센터(수영장)","대전광역시 서구 정림서로 181(정림동)","Y","수영장업","대전광역시 서구 정림동 402-2 서구국민체육센터"
"경상북도","N","",37,"19999999","정상운영","자체운영        ","2016-12-31","실내","36.1234680713","730921",7019,"","tQrC8MOG3hqZgFD60igipqFo63/PcZuYo/rCaIXTEko=","수영장","구미시","","구미시","730921","054-480-2043","128.328678104","2023-02-16","공공","경상북도","올림픽기념국민생활관수영장","원평동 964-451","N","수영장","경북 구미시 원평동 964-451"
"전라남도","N","",38,"20070104","폐업","위탁운영        ","2016-12-31","실내","34.9376522992","57790",952,"","dUuFFfEe549eHehk/SVdfe6PiOdHzFvI8LzpUHEwIg4=","수영장","광양시","중동","광양시","57790","","127.6903031249","2023-03-24","공공","전라남도","광양청소년수련관수영장","전라남도 광양시 광장로 14 (중동)","N","수영장",""
"제주특별자치도","N","",39,"20161231","폐업","","2016-12-31","실내","33.4915521613","690826",488,"지하1층","jigTn12r8XQA7kHwkd38fCZSn9Oz0chvyu38nlpWy9c=","실내","제주시","","제주시","690826","064-727-9090","126.535647419","2023-03-08","신고","제주특별자치도","미래수영장","제주시 구남로 55 (이도이동)","N","수영장업","제주특별자치도 제주시 구남로 55"
"경기도","N","",40,"20161231","정상운영","자체운영        ","2016-12-31","실내","37.4004643102","463400",354,"","V1e5JpyzmrISJ1K25RxSC6u9XvttXbNiRzDZ6FQsXR8=","실내","성남시","","성남시","463400","031-724-2640","127.106814002","2023-03-08","신고","경기도","키즈스플래쉬","성남시 분당구 대왕판교로 660, 지하1층 125-1호 (삼평동, 유스페이스1)","N","수영장업","경기 성남시 분당구 대왕판교로 660"
"경상북도","N","",41,"20140717","정상운영","자체운영        ","2018-04-23","실내","36.2591799181","39111",1363,"","DXDkuUYE1nuK6yZIxty/Lnl2dr6faLkyLDZRiIGOfTs=","실내","구미시","노상리","구미시","39111","054-480-6003","128.290018337","2023-03-17","신고","경상북도","구미시 선산청소년수련관","경상북도 구미시 선산읍 단계동길 270","N","수영장업","경상북도 구미시 선산읍 노상리 333-2 구미 청소년 수련관"
"","N","",42,"20161231","","자체운영        ","2016-12-31","실내","37.5280369464","421803",825,"","Ns0PrrVRONEgzYutvn7JRtpOQdHpnzA1ukbr6khLJOc=","실내","부천시","","","421803","032-677-1177","126.817025015","2023-02-16","신고","경기도","파라디스포츠","부천시 오정구 고리울로 9(고강동 369번지)","N","수영장업",""
"경기도","N","광교웰빙국민체육센터",43,"20200217","정상운영","자체운영        ","2020-06-18","없음","37.3050326162635","16224",3186,"광교웰빙국민체육센터 (이의동)","QlPSDJPn/FTumpqsz1Pg/unZ5FBtOuJQlIpP4C5LjBM=","실내","수원시","","수원시","16224","031-259-4600","127.04309837882","2023-02-16","신고","경기도","광교웰빙국민체육센터","경기도 수원시 영통구 웰빙타운로 71 (이의동)","N","수영장업","경기도 수원시 영통구 이의동 1183 광교웰빙국민체육센터"
"경기도","N","",44,"20230220","정상운영","","2023-03-03","실내","37.4013299490654","14005",1865,"6층, 7층","","실내","안양시","안양동","안양시 만안구","14005","031-347-1111","126.913132771256","2023-03-04","신고","경기도","(주)원하비 밸런스 스위밍 랩","경기도 안양시 만안구 안양로329번길 108(안양동)","N","수영장업","경기도 안양시 만안구 안양동 900-10 안양월드"
"경기도","N","패미리월드G7",45,"20220630","","","2022-07-11","실내","","13911",2759,"패미리월드G7 1층로비 지하2,3층 (석수동)","SafTkoti8aMuA9CM+HtVHd/qrx8EzBEN9eHMKWqYMvE=","실내","안양시","석수동","안양시","13911","","","2023-03-04","신고","경기도","(주)안양워터랜드","경기도 안양시 만안구 예술공원로 153-32, 패미리월드G7 1층로비 지하2,3층 (석수동)","N","수영장업","경기도 안양시 만안구 석수동 825-1 패미리월드G7 "
"강원도","N","",46,"20180723","정상운영","","2018-12-12","실내","37.8483301855","24455",478,"","wUAvTn5/RM0J6D4H4N/K1jzi6ifia1LAur9R6ZiH/Rs=","실내","춘천시","퇴계동","춘천시","24455","033-818-2011","127.7321092051","2023-02-17","신고","강원도","케이에스씨수상안전교육센터(주)","강원도 춘천시 솟발1길 4-33 (퇴계동)","N","수영장업","강원도 춘천시 퇴계동 493-18"
"경상남도","N","",47,"20030101","정상운영","자체운영        ","2016-12-31","실내","35.5057071","627120",2132,"","xlxTMKnpx1X5O/xgKsJl4OYfZbXlF/30nkCuyvSjqgU=","수영장","밀양시","","밀양시","627120","055-356-6520","128.745295114","2023-03-17","공공","경상남도","밀양스포츠센터 수영장","밀양시 교동 1121-3","N","수영장","경남 밀양시 교동 1121-3"
"경기도","N","",48,"20200210","정상운영","","2023-04-13","없음","37.1702672600414","18501",512,"","","실내","화성시","","화성시","18501","","127.11839079158","2023-04-14","신고","경기도","하비엘럭스","경기도 화성시 동탄순환대로 253 (산척동)","Y","수영장업","경기도 화성시 산척동 724-2"
"강원도","N","지하1층",49,"20160310","정상운영","","2018-04-13","실내","","24304",450,"(후평동)","Kluz1naP+E7Nhdh/6ycCwZrBn+6xS7pTNjhluDjziYk=","실내","춘천시","","춘천시","24304","033-818-2001","","2023-02-17","신고","강원도","KSC키즈수상안전교육센터","강원도 춘천시 후석로 312 (후평동)","N","수영장업","강원도 춘천시 후평동 67-72 지하1층 "
"경상북도","N","",50,"20060515","정상운영","위탁운영        ","2016-11-07","실내","36.1449243029","39524",12579,"","s5aAtOZ4Mpc6pgKEbGB73my2YBLavCfRIcb9mi2lIQs=","수영장","김천시","삼락동","김천시","39524","054-421-1661","128.0880877799","2023-05-16","공공","경상북도","김천실내수영장","경상북도 김천시 운동장길 1 (삼락동)","N","수영장","경상북도 김천시 삼락동  488-1 김천종합스포츠타운"
"전라남도","N","광양커뮤니센터",51,"20010401","폐업","자체운영        ","2016-12-31","실내","34.946502626","57777",12895,"","CXH0y6lRA59GisK7SD0efHin6ixcY1z8PlxKzB+8JHc=","수영장","광양시","마동","광양시","57777","","127.7030713485","2023-03-24","공공","전라남도","커뮤니티센터수영장","전라남도 광양시 중마로 410 (마동)","N","수영장",""
"인천광역시","N","",52,"20180622","정상운영","위탁운영        ","2020-11-23","실내","37.461952785372","22169","","","HF6xAfcubmbA0MfecHZ4FqUwIKTA75VTsNq/f7nMtOQ=","수영장","남구","","","22169","0328804997","126.649466178107","2023-03-14","공공","인천광역시","미추홀구 국민체육센터","인천광역시 미추홀구 경인로42번길 57 (숭의동)","N","수영장","인천광역시 미추홀구 숭의동 131-55 미추홀구 국민체육센터"
"제주특별자치도","N","",53,"20200626","정상운영","자체운영        ","2020-08-03","없음","33.475146416323","63141",325,"","gmJTwT269rBUDPrQDc9/Zoe4vOUqZEJG7RpPiUYaoeQ=","실내","제주시","연동","제주시","63141","","126.48871816577","2023-02-18","신고","제주특별자치도","제이풀","제주특별자치도 제주시 연화남길 22 (연동)","N","수영장업","제주특별자치도 제주시 연동 1382"
"충청북도","N","",54,"20060710","정상운영","위탁운영        ","2020-02-10","실내","36.48850321793056","28937","","","5QngDBlQZiqJLvcFdkho1MYplWcutNLvAPzC3Sn1XAA=","수영장","보은군","이평리","보은군","28937","043-540-3463","127.72926240052949","2023-05-02","공공","충청북도","보은국민체육센터","충청북도 보은군 보은읍 군청길 38-1","N","수영장","충청북도 보은군 보은읍 이평리 45-6 국민체육센타"
"전라북도","N","대야국민체육센터 수영장",55,"19990101","정상운영","자체운영        ","2016-11-07","실내","35.9508258778886","54060",1736,"대야국민체육센터 수영장","IIAhdSpIFOEGmpJsbRO/m14Tz4q9LgaKDOTkQs9CixI=","수영장","군산시","산월리","군산시","54060","NaN","126.815655516825","2023-03-14","공공","전라북도","대야국민체육센터수영장","전라북도 군산시 대야면 석화로 63-15","N","수영장","전라북도 군산시 대야면 산월리 795-1 군산국민체육센터"
"경상남도","N","",56,"19999999","정상운영","위탁운영        ","2023-01-30","실내","35.3278303190513","50635","","","IfT5VH9EBLVb/NyKkw7zddKXFgcLzZfcdU7GadkAQzE=","수영장","양산시","석산리","양산시","50635","055-392-3403","129.027600008241","2023-02-23","공공","경상남도","(수영장-02) 양산주민편익시설","경상남도 양산시 동면 강변로 264-1","N","수영장","경상남도 양산시 동면 석산리 652 주민편익시설"
"","N","5층 (잠실동, 롯데호텔)",57,"20161231","정상운영","자체운영        ","2016-12-31","실내","37.5113107836","05554",633,"","cqi2k1vlsnY+lH+rWgsdl0GOFhadoK6I7TS/279WYk0=","실내","송파구","잠실동","","05554","02-419-7000","127.0981403954","2023-02-21","신고","서울특별시","롯데호텔 실내수영장","서울특별시 송파구 올림픽로 240 (잠실동)","N","수영장업",""
"인천광역시","N","",58,"20210413","정상운영","","2021-08-09","실내","37.5981351641428","22642",574965,"","D5NkV4F2Bna4eoSd+3rSpwi8/QaCtWpL9YwyLK4jOd0=","실내","서구","마전동","서구","22642","032-563-1105","126.675095195211","2023-03-16","신고","인천광역시","ATS스포츠센터-판다수영아카데미 검단점","인천광역시 서구 완정로34번길 57-21(마전동)","N","수영장업","인천광역시 서구 마전동 1005-6 올댓스윔"
"전라남도","N","",59,"20210602","정상운영","","2021-12-22","없음","","58330",595,"1층 (빛가람동)","XX7820nWhD1ipwQGi26NMT/WHXArzHOI1zGUfLiG880=","실내","나주시","빛가람동","나주시","58330","","","2023-02-21","신고","전라남도","스피드인 스윔","전라남도 나주시 빛가람로 838, 1층 (빛가람동)","N","수영장업","전라남도 나주시 빛가람동 904 "
"서울특별시","N","1층",60,"20040712","정상운영","자체운영        ","2016-11-07","없음","37.5682897045","03932",888,"","8tFi3wbJk4VTWklWd8/C/OSYDjMjT21kHWYPBWsdvYc=","실내","마포구","성산동","마포구","03932","02-302-7002","126.8972707689","2023-04-12","신고","서울특별시","월드컵스파랜드24 수영장","서울특별시 마포구 월드컵로 240 (성산동)","N","수영장업",""
"충청남도","N","충남 보령시 남포면 창동리 653-105",61,"20050202","정상운영","자체운영        ","2016-11-07","실내","36.3137593924","33495",2436,"","C56XDuljQhaRcXU8Z7NGzmcT5VCpAA6BnCU4o+pC3Qc=","수영장","보령시","옥동리","보령시","33495","NaN","126.6039302581","2023-03-15","공공","충청남도","보령국민체육센터수영장","충청남도 보령시 남포면 보령남로 347","N","수영장","충청남도 보령시 남포면 옥동리 331-11"
"부산광역시","N","여고 플래티넘",62,"20230227","정상운영","","2023-02-28","실내","0","47829",292,"여고 플래티넘 1층 (사직동)","","실내","동래구","","동래구","47829","051-503-6888","0","2023-04-08","신고","부산광역시","(주)케이비스포츠인재교육원","부산광역시 동래구 미남로 52(사직동)","N","수영장업","부산광역시 동래구 사직동 151-8 여고 플래티넘"
"대구광역시","N","아양아트센터 내 ",63,"20040310","정상운영","위탁운영        ","2016-11-07","실내","35.8795647833","41179",3471,"","GlUgh/mNiiosc7h09jrzylmO7/AXk1bgdFZ511iEzSU=","수영장","동구","효목동","동구","41179","NaN","128.6519348218","2023-03-14","공공","대구광역시","아양아트센터실내수영장","대구광역시 동구 효동로2길 24 (효목동)","N","수영장","대구광역시 동구 효목동  1084 아양아트센터"
"경상남도","N","",64,"20220720","정상운영","","2023-05-12","없음","34.9479381525286","52554",826,"(실안동)","","실외","사천시","","사천시","52554","","128.041127967238","2023-05-12","신고","경상남도","(주)아빌라 더 오아시스","경상남도 사천시 해안관광로 68-20 (실안동)","N","수영장업","경상남도 사천시 실안동 962"
"충청북도","N","개신동 상원빌딩",65,"20230418","정상운영","","2023-05-12","없음","0","28667",530,"상원빌딩 B101호 (개신동)","","실내","청주시","","청주시","28667","043-715-8272","0","2023-05-12","신고","충청북도","아쿠아펠리스 수영장","충청북도 청주시 서원구 예체로 23 (개신동)","N","수영장업","충청북도 청주시 서원구 개신동 436-4 개신동 상원빌딩"
"경기도","N","스타필드 안성",66,"20200928","정상운영","","2023-02-09","없음","36.9946334108693","17563",2671,"스타필드 안성","","실내","안성시","","안성시","17563","031-8092-1900","127.147249620616","2023-05-12","신고","경기도","아쿠아필드","경기도 안성시 공도읍 서동대로 3930-39","Y","수영장업","경기도 안성시 공도읍 진사리 354 스타필드 안성"
