addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"충청북도","N",",",11,"20211015","정상운영","2021-11-30","실내","36.600040493342","28621",491,"","XG7nkdfvlSY7QnITPe1HCQwK+n7KWKo6aazaavMXwjs=","농구","청주시","성화동","청주시 서원구","28621","","127.449488557585","2023-05-05","신고","충청북도","올스타 키크는 농구교실","충청북도 청주시 서원구 2순환로1530번길 116(성화동)","Y","체육교습업","충청북도 청주시 서원구 성화동 336-1"
"대전광역시","N","5층 2,3호",12,"20220804","정상운영","2023-02-14","실내","36.3513195797309","34550",200,"5층 2,3호","","농구","동구","용전동","동구","34550","","127.441108557432","2023-02-15","신고","대전광역시","점프농구교실","대전광역시 동구 한밭대로 1322(용전동)","N","체육교습업","대전광역시 동구 용전동 54-2"
"세종특별자치시","N","",13,"20211119","정상운영","2021-11-22","실내","36.4939355600995","30055",412,"","QpFpgnttk2o/8NiGtifQ5XLytnav+j5nAzX5CmTLJFI=","농구","세종시","봉안리","세종시","30055","","127.235986985664","2023-04-28","신고","세종특별자치시","탑 농구교실","세종특별자치시 장군면 당암길 100-21","Y","체육교습업","세종특별자치시 장군면 봉안리 27"
"광주광역시","N","",14,"20211111","정상운영","2022-03-29","실내","35.1059036523963","61743",0,"","j27/BpFhvE3bJJLvDu88dZPetWBhFN6C3CD1290qp8o=","농구","남구","진월동","","61743","","126.89616993457","2023-03-16","신고","광주광역시","농구교실 JH","광주광역시 남구 효덕로 277(진월동)","Y","체육교습업","광주광역시 남구 진월동 592-1 광주대학교"
"경기도","N","",15,"20220929","정상운영","2023-01-30","없음","37.3430807801627","16802",498,"","cp22DARh8WlStOlYMDi4O7FnfA8e/JrlnIJW0X/UHO4=","농구","용인시","동천동","용인시","16802","","127.060624877289","2023-05-10","신고","경기도","더모스트베스킷볼","경기도 용인시 수지구 동천로 417-1(동천동)","Y","체육교습업","경기도 용인시 수지구 동천동 625-1"
"부산광역시","N","",16,"20220216","정상운영","2022-06-28","없음","35.0772995308949","49106",173,"","ksFzqrSpJM50U0/bekx+iecUcC6WIhAKah0L+AbkEbg=","농구","영도구","동삼동","영도구","49106","","129.070332337469","2023-03-04","신고","부산광역시","인피니트 스포츠(영도점)","부산광역시 영도구 동삼로 45(동삼동)","Y","체육교습업","부산광역시 영도구 동삼동 328"
"경기도","N","",17,"20211119","정상운영","2021-11-22","없음","37.153305830174","18148",495,"","VGcUwNLDj5gi6Uxrhn5qiLi5pUfCQlgKth+TSG4fhuA=","농구","오산시","부산동","오산시","18148","031-376-5265","127.087984534019","2023-03-08","신고","경기도","더 모스트 트레이닝 랩","경기도 오산시 동부대로568번길 87-17(부산동)","Y","체육교습업","경기도 오산시 부산동 471 (가동),(나동)"
"인천광역시","N","",18,"20220204","정상운영","2022-05-04","없음","","21005",396,"4동 (선주지동)","Lfrfh+rPEPTgKvmIKDKO0SUprwtuE0cxtt8NWkj9xFQ=","농구","계양구","선주지동","계양구","21005","","","2023-02-17","신고","인천광역시","코리아 농구교실","인천광역시 계양구 선주로54번길 12, 4동 (선주지동)","Y","체육교습업","인천광역시 계양구 선주지동 114-6 "
"서울특별시","N","지2층 B201호 (상수동, 상수크리원)",19,"20220713","정상운영","2022-12-14","없음","37.5454085678653","04075",263,"지2층 B201호 (상수동, 상수크리원)","/oA7e26SUjoCvGj32/OtPiX+zC8Ig/TW/wpCOIoHe18=","농구","마포구","상수동","마포구","04075","","126.925409640381","2023-04-07","신고","서울특별시","제이에스아레나(스티즈농구교실마포점)","서울특별시 마포구 토정로 131(상수동, 상수크리원)","Y","체육교습업","서울특별시 마포구 상수동 355-2 상수크리원"
"경기도","N","2층 201호",20,"20221121","정상운영","2023-01-05","없음","37.2340794944059","17049",259,"2층 201호","Ca8X4NR7IuRXmMjUWm1Bo2Ayao+ARE9EIH4+u4cDfWs=","농구","용인시","김량장동","용인시 처인구","17049","","127.19773352086","2023-02-04","신고","경기도","SK나이츠 농구교실 처인점","경기도 용인시 처인구 금령로12번길 6-1(김량장동)","Y","체육교습업","경기도 용인시 처인구 김량장동 329-10"
"대구광역시","N","",21,"20221213","정상운영","2023-03-21","없음","35.8541443731782","42118",348,"지하1층","","농구","수성구","범어동","수성구","42118","","128.623453809457","2023-03-21","신고","대구광역시","더아이스포츠(The i sports)","대구광역시 수성구 명덕로 485(범어동)","Y","체육교습업","대구광역시 수성구 범어동 776-7"
"울산광역시","N","",22,"20230323","정상운영","2023-04-10","없음","35.6029077885327","44236",161,"","","농구","북구","송정동","북구","44236","","129.365065169932","2023-05-02","신고","울산광역시","점핑클럽","울산광역시 북구 화산로 123 (송정동)","Y","체육교습업","울산광역시 북구 송정동 1232-1"
"부산광역시","N","",23,"20211109","정상운영","2021-12-31","없음","35.1496390899473","48314",558,"","ZgDRdUDSEkD4xWoyb1LsYDZoPlxcGqeDP717DDEz3UI=","농구","수영구","남천동","수영구","48314","","129.111295158007","2023-05-02","신고","부산광역시","이야짐 & 오르카 스위밍","부산광역시 수영구 수영로 492(남천동)","Y","체육교습업",""
"울산광역시","N","",24,"20210301","정상운영","2021-08-20","없음","35.5571995789547","44254",255,"","V8y9zyBO8QwPjFpcaG+cZAeQ3Ahel2erUwnpYtgAbNs=","농구","북구","명촌동","북구","44254","","129.354919804442","2023-05-02","신고","울산광역시","울산엠아이디유소년농구단","울산광역시 북구 명촌18길 2(명촌동)","Y","체육교습업","울산광역시 북구 명촌동 694-1"
"전라남도","N","",25,"20210429","정상운영","2021-06-01","실내","34.7489850826227","59656",564,"","+nxLNl1z3Vj3onhiy+hM/axY/3aZJe0/8iIOdaUfUHk=","농구","여수시","관기리","여수시","59656","","127.625287501307","2023-04-30","신고","전라남도","패스체대입시 및 패스농구교실","전라남도 여수시 소라면 관기길 27","Y","체육교습업","전라남도 여수시 소라면 관기리 436-1"
"강원도","N","1층",26,"20220816","정상운영","2022-08-26","실내","37.8660159169025","24315",684,"1층","j7UxOdz3rR7vt35IkBwTZQqdTr5oL/kJ72itMsfnUJc=","농구","춘천시","석사동","춘천시","24315","033-264-1888","127.761111952124","2023-02-08","신고","강원도","웨이브 스포츠클럽","강원도 춘천시 세실로 100-30(석사동)","Y","체육교습업","강원도 춘천시 석사동 34-6"
"경기도","N","",27,"20211215","정상운영","2022-06-15","없음","37.7010312716538","12047",646,"","sJVfjfcOG00yFLoYzdKmDXV/qTv7aeQsYvPmkYxf1lA=","농구","남양주시","양지리","남양주시","12047","","127.189611886537","2023-05-03","신고","경기도","NSBC 유소년 농구교실","경기도 남양주시 오남읍 양지로319번길 27-1","Y","체육교습업","경기도 남양주시 오남읍 양지리 646-7"
"경기도","N","",28,"20220401","정상운영","2022-04-11","없음","37.3378500891101","16823",493,"","i5wl0IJktAAEkrFDAwgpwNJE48x2eGUkYffWgeXj8Rs=","농구","용인시","동천동","용인시","16823","031-276-7772","127.093918150644","2023-05-03","신고","경기도","스와트","경기도 용인시 수지구 수지로461번길 34(동천동)","Y","체육교습업","경기도 용인시 수지구 동천동 336-2"
"경기도","N","",29,"20211108","정상운영","2021-11-18","없음","37.3681855990292","15011",932,"","dk8V72pt+xU4STpUPhZbVEARvMp0/N31WjcVSZiJckU=","농구","시흥시","","시흥시","15011","","126.73067100839","2023-02-16","신고","경기도","탑 농구교실","경기도 시흥시 서울대학로278번길 61(배곧동)","Y","체육교습업","경기도 시흥시 배곧동 204 서영베니스스퀘어"
"인천광역시","N","",30,"20211018","정상운영","2021-12-03","실내","0","21682",498,"(고잔동)","YE5nuJphT0g5BqMh89YWzDR2k3gfyaLyEOO2jWbHrRM=","농구","남동구","","남동구","21682","032-422-8011","0","2023-02-21","신고","인천광역시","어시스트","인천광역시 남동구 고잔로102번길 50(고잔동)","Y","체육교습업","인천광역시 남동구 고잔동 산300-2"
"경기도","N","",31,"20220801","정상운영","2023-05-03","없음","0","12036",418,"","","농구","남양주시","","남양주시","12036","","0","2023-05-03","신고","경기도","쿨스포츠클럽","경기도 남양주시 오남읍 진건오남로912번길 123","Y","체육교습업","경기도 남양주시 오남읍 양지리 15-36"
"경기도","N","",32,"20211210","폐업","2021-12-23","실내","37.6619063638142","10203",315,"가동 (법곳동)","pXEQlajMCGXEINXc3oIjBtVhSYo/AWZFPMhDVe3/CMk=","농구","고양시","","고양시","10203","","126.723101416161","2023-05-03","신고","경기도","KOREA농구교실","경기도 고양시 일산서구 법곳길137번길 5-8(법곳동)","Y","체육교습업","경기도 고양시 일산서구 법곳동 330-1"
"경기도","N","",33,"20220513","정상운영","2023-04-12","없음","0","18269",405,"","","농구","화성시","","화성시","18269","","0","2023-04-12","신고","경기도","아이디커넥트짐","경기도 화성시 남양읍 신남로 316-29","Y","체육교습업","경기도 화성시 남양읍 신남리 1247-14"
"서울특별시","N","",34,"20210625","정상운영","2021-09-14","실내","37.5766590358858","02532",480,"","CYH8dNUO5YaGr5ySKRkzU+EfYZXJzZ9vlLcywvw8cC0=","농구","동대문구","전농동","동대문구","02532","","127.061567688813","2023-02-23","신고","서울특별시","동대문 주니어 나이츠","서울특별시 동대문구 사가정로 148(전농동, 전농 SK아파트)","Y","체육교습업","서울특별시 동대문구 전농동 10 전농 SK아파트"
"부산광역시","N","씨엘주차타워 1층 117~120호",35,"20210830","정상운영","2023-02-23","없음","35.0939053061223","46726",185,"씨엘주차타워 1층 117~120호","","농구","강서구","명지동","강서구","46726","","128.90157980646","2023-02-23","신고","부산광역시","명지 KT소닉붐유소년농구교실","부산광역시 강서구 명지국제8로10번길 51(명지동)","Y","체육교습업","부산광역시 강서구 명지동 3587-1"
"인천광역시","N","5층 501호 (청학동)",36,"20211224","폐업","2023-03-21","없음","37.4158241505061","21926",467,"5층 501호 (청학동)","","농구","연수구","청학동","연수구","21926","","126.674347972193","2023-05-05","신고","인천광역시","열정하나농구교실","인천광역시 연수구 청능대로 71(청학동)","Y","체육교습업","인천광역시 연수구 청학동 502-1"
"인천광역시","N","동남아파트",37,"20211012","정상운영","2023-03-21","없음","","21920",2449,"동남스포피아 3층 (연수동)","","농구","연수구","연수동","","21920","032-822-5969","","2023-05-10","신고","인천광역시","씨제이(CJ) 스포츠","인천광역시 연수구 새말로 27, 동남스포피아 3층 (연수동)","Y","체육교습업","인천광역시 연수구 연수동 536 동남아파트 "
"경기도","N","(주)허브그린",38,"20220420","정상운영","2022-04-26","없음","0","18111",270,"(주)허브그린 (외삼미동)","U1ALf9SJ1eolsY+6dRqv+oZD6iyU/qWDa0rrsl/X6TU=","농구","오산시","","오산시","18111","031-224-7696","0","2023-05-03","신고","경기도","동탄 미라클 농구배드민턴 교실","경기도 오산시 외삼미로152번길 12(외삼미동)","Y","체육교습업","경기도 오산시 외삼미동 94-1 (주)허브그린"
"전라남도","N","",39,"20221228","정상운영","2023-02-28","없음","","57992",66,"(연향동)","","농구","순천시","","순천시","57992","","","2023-05-12","신고","전라남도","포비스 스포츠 클럽","전라남도 순천시 명말2길 48 (연향동)","Y","체육교습업","전라남도 순천시 연향동 1100 "
"인천광역시","N","",40,"20210803","정상운영","2023-03-21","없음","37.4158241505061","21926",467,"(청학동)","","농구","연수구","","연수구","21926","032-834-5957","126.674347972193","2023-05-10","신고","인천광역시","코리아농구교실","인천광역시 연수구 청능대로 71(청학동)","Y","체육교습업","인천광역시 연수구 청학동 502-1"
"경기도","N","",41,"20220414","정상운영","2022-06-15","없음","","10068",315,"유송타워 5층 501호,502호 (마산동)","4gFKyOj8cneIIKBFpIDVxK9UcYraiTaTcdcKMbCs3Ik=","농구","김포시","","김포시","10068","","","2023-03-10","신고","경기도","지앤지 김포한강(GNG 김포한강)","경기도 김포시 김포한강8로148번길 5, 유송타워 5층 501호,502호 (마산동)","Y","체육교습업","경기도 김포시 마산동 650-3 "
"경기도","N","",42,"20220415","정상운영","2022-06-15","없음","0","10064",498,"1층","P0INWGF9bE9VWPxg5mRrCRgcolf1Ss91sV2sy/5PRuU=","농구","김포시","","김포시","10064","031-983-7959","0","2023-05-05","신고","경기도","이승현(LSH) 키크는 농구교실","경기도 김포시 양촌읍 석모로 103-1","Y","체육교습업","경기도 김포시 양촌읍 석모리 1193-1"
"울산광역시","N","",43,"20211029","정상운영","2022-05-13","없음","35.5752473406195","44421",192,"1층 (성안동)","FmXJOo4yVsvNs4YlODbCCYFSCYWYMcmFYKOkUJOUWa8=","농구","중구","","중구","44421","","129.319059146496","2023-05-05","신고","울산광역시","한마음에이치비씨 농구단","울산광역시 중구 성안7길 18-1(성안동)","Y","체육교습업","울산광역시 중구 성안동 502-5"
"경기도","N","",44,"20230302","정상운영","2023-03-31","없음","37.3296528602745","16820",196,"","","농구","용인시","풍덕천동","용인시","16820","","127.086727769909","2023-03-31","신고","경기도","케이아이스포츠","경기도 용인시 수지구 수풍로37번길 42 (풍덕천동)","Y","체육교습업","경기도 용인시 수지구 풍덕천동 413"
"경기도","N","위례 아트리버 푸르지오",45,"20221227","정상운영","2023-02-23","없음","36.49787652957536","",118,"108,109호 (창곡동, 위례 아트리버 푸르지오)","","농구","성남시","","성남시","13640","","127.26543401552541","2023-02-23","신고","경기도","위례 송파 주니어 나이츠","경기도 성남시 수정구 위례순환로 130, 108,109호 (창곡동, 위례 아트리버 푸르지오)","Y","체육교습업","경기도 성남시 수정구 창곡동 529 위례 아트리버 푸르지오 "
"전라남도","N","",46,"20210423","정상운영","2021-08-05","없음","34.5766648522428","59031",499,"","7asoLElgjk8PhsW9Gzoyxft1UuTf/jHuc9n83TgTm9U=","농구","해남군","","해남군","59031","","126.588537588053","2023-05-03","신고","전라남도","플러스 농구교실","전라남도 해남군 해남읍 북부순환로 211-14","Y","체육교습업","전라남도 해남군 해남읍 구교리 409-3"
"전라남도","N","중흥s클래스 메가티움 2차",47,"20210709","정상운영","2021-07-30","없음","","58217",181,"중흥s클래스 메가티움 2차 1층 112호 (빛가람동)","gwsGTyF1oy2UpIIxMK/MPyoJ9aLAZSde11IfsEaxo1A=","농구","나주시","빛가람동","나주시","58217","","","2023-03-28","신고","전라남도","빛가람농구교실","전라남도 나주시 상야3길 8, 중흥s클래스 메가티움 2차 1층 112호 (빛가람동)","Y","체육교습업","전라남도 나주시 빛가람동 200 중흥s클래스 메가티움 2차 "
"인천광역시","N","",48,"20230425","정상운영","2023-05-15","실내","37.4797211456795","22376",82,"807호","","농구","중구","운남동","중구","22376","","126.502060742164","2023-05-15","신고","인천광역시","윙스 농구연습장","인천광역시 중구 흰바위로 236 (운남동)","Y","체육교습업","인천광역시 중구 운남동 1600-1"
"전라남도","N","남악아울렛 120호",49,"20220106","정상운영","2022-08-26","없음","34.8105410067555","58567",216,"남악아울렛 120호","260rxSYJqgLIdwn6g8jW0Q6Qh6JGHeKR0rJMZZ9xKJM=","농구","무안군","남악리","무안군","58567","","126.464899718384","2023-05-10","신고","전라남도","강동희농구교실","전라남도 무안군 삼향읍 대죽동로16번길 15","Y","체육교습업","전라남도 무안군 삼향읍 남악리 2254 남악아울렛"
"인천광역시","N","수도권매립지 제3매립장 주민편익시설 1층 (백석동)",50,"20230216","정상운영","2023-03-13","실내","37.5730905963004","22688",641,"수도권매립지 제3매립장 주민편익시설 1층 (백석동)","","농구","서구","백석동","서구","22688","032-710-3122","126.648113116043","2023-03-13","신고","인천광역시","아이에스티 주식회사","인천광역시 서구 자원순환로 170(백석동)","Y","체육교습업","인천광역시 서구 백석동 58 수도권매립지공사"
"대구광역시","N","",51,"20221130","정상운영","2022-12-13","없음","35.8910128759616","41552",248,"","KJoAxFUwlIWf4P+YVaRQZjLo9arC+3j3GQjoff0Mggc=","농구","북구","노원동1가","북구","41552","","128.579335008615","2023-03-29","신고","대구광역시","TOP'S 농구교실","대구광역시 북구 침산남로7길 27(노원동1가)","Y","체육교습업","대구광역시 북구 노원동1가 94-3"
"경기도","N","지하 2층",52,"20220303","정상운영","2022-04-12","없음","37.3594605745275","15865",127,"지하 2층","LtXawDTXp//CIDMK4JYivTalls2YqZi4Z9dgmUpw4/8=","농구","군포시","산본동","군포시","15865","031-393-0676","126.930209883168","2023-05-09","신고","경기도","패스체대입시 산본안양센터","경기도 군포시 광정로 70(산본동)","Y","체육교습업","경기도 군포시 산본동 1144-1 유공빌딩"
"경기도","N","2층 (당정동)",53,"20230405","정상운영","2023-04-07","실내","37.3512502245879","15849",457,"2층 (당정동)","","농구","군포시","","군포시","15849","","126.956810203664","2023-05-09","신고","경기도","바스농구클럽","경기도 군포시 고산로126번길 18 (당정동)","Y","체육교습업","경기도 군포시 당정동 422-1"
"경기도","N","",54,"20230403","정상운영","2023-05-10","없음","37.2731682952525","16393",241,"","","농구","수원시","금곡동","수원시","16393","031-298-2838","126.954484742282","2023-05-10","신고","경기도","키플스포츠클럽","경기도 수원시 권선구 금곡로212번길 25 (금곡동)","Y","체육교습업","경기도 수원시 권선구 금곡동 1124 광일프라자"
"경기도","N","스포라이프 스포츠센타 4층 B호 (정자동)",55,"20211209","폐업","2022-03-04","실내","37.3653233863252","13607",60,"스포라이프 스포츠센타 4층 B호 (정자동)","ly0DRjXHkalZxkLoypc4Kh0YoWb/wfqI04owRwk5hII=","농구","성남시","정자동","성남시","13607","","127.115180243325","2023-05-17","신고","경기도","DH 스포츠센터","경기도 성남시 분당구 내정로 58(정자동)","Y","체육교습업","경기도 성남시 분당구 정자동 117-1 스포라이프 스포츠센타"
"경기도","N","",56,"20211110","정상운영","2022-01-06","없음","37.761900687316","11758",480,"","VNUxILpQJHwmCZfF+Yk3S1DP9w6fyHh3NuQ4CET8h/k=","농구","의정부시","녹양동","의정부시","11758","031-852-2624","127.046513741415","2023-05-11","신고","경기도","스카이짐유소년스포츠클럽(녹양점)","경기도 의정부시 동일로 860-18(녹양동)","Y","체육교습업","경기도 의정부시 녹양동 1-9"
"경기도","N","3층 (상하동)",57,"20230403","정상운영","2023-05-15","없음","37.2797749505131","16986",494,"3층 (상하동)","","농구","용인시","상하동","용인시 기흥구","16986","070-7542-1116","127.1426258127","2023-05-15","신고","경기도","유소년스포츠(SSA)","경기도 용인시 기흥구 언동로 178 (상하동)","Y","체육교습업","경기도 용인시 기흥구 상하동 504-4"
"경기도","N","",58,"20220429","정상운영","2022-06-30","실내","37.7148719224217","11799",443,"","yIESplAR6+u44UDalM5xWN13tdwNP+dL88ilhTLhWgc=","농구","의정부시","","의정부시","11799","031-821-4429","127.102274261749","2023-05-11","신고","경기도","고려대스포츠아카데미","경기도 의정부시 송산로971번길 87-5(산곡동)","Y","체육교습업","경기도 의정부시 산곡동 626-1"
"경기도","N","",59,"20220317","정상운영","2022-06-30","실내","37.7318665810024","11796",355,"(용현동)","g+vDFEjKU1NZIYl3CICq4r0ci76kGW7at86m+HKxFN0=","농구","의정부시","","의정부시","11796","031-821-3329","127.079896153266","2023-05-11","신고","경기도","박성배 농구아카데미","경기도 의정부시 시민로434번길 9-4(용현동)","Y","체육교습업","경기도 의정부시 용현동 458-11"
"경기도","N","",60,"20211223","정상운영","2022-12-12","없음","37.1503943437857","18510",404,"1층","MP74nnmhavjdyO3KVEXUHuL2plTB69hzIG+RH5dJqEM=","농구","화성시","","화성시","18510","","127.122124602075","2023-05-19","신고","경기도","티오피(TOP)스포츠클럽","경기도 화성시 경기동로 470-28(장지동)","Y","체육교습업","경기도 화성시 장지동 838-10"
"경기도","N","",61,"20211020","정상운영","2021-11-11","없음","0","11909",427,"제3동(C)동 (인창동)","kQilAco51fCvL8P2FVJlQaIiwJKkrzZIhPHQyOvkNW4=","농구","구리시","","구리시","11909","","0","2021-11-11","신고","경기도","리얼농구교실","경기도 구리시 동구릉로200번길 25(인창동)","Y","체육교습업","경기도 구리시 인창동 31-2"
"세종특별자치시","N","",62,"20211028","정상운영","2021-11-22","실내","36.5018490214315","30055",909,"","NSav3UAeEfzKyVoWVlwcKf+sr1UHHtjFvGZwxEw8cyw=","농구","세종시","봉안리","세종시","30055","","127.225049072674","2021-11-22","신고","세종특별자치시","맥스스포츠 아카데미","세종특별자치시 장군면 봉안고개길 27","Y","체육교습업","세종특별자치시 장군면 봉안리 220"
"경기도","N","외 226-4",63,"20221111","정상운영","2022-12-07","없음","0","12991",288,"(감북동)","aHmpI6PmtdGwQdCV2IW86TCO1jpSVDFOoAcoeW2e5E0=","농구","하남시","","하남시","12991","02-477-9450","0","2022-12-07","신고","경기도","넥스트레벨 바스켓볼 아카데미","경기도 하남시 서하남로43번길 101(감북동)","Y","체육교습업","경기도 하남시 감북동 224"
"경기도","N","",64,"20210603","정상운영","2021-06-07","실내","37.2909383739304","17349",288,"","/0CjFP2oZCYtszr3o81DzFA3JnXcZckwEEsPdZezR4g=","농구","이천시","갈산동","이천시","17349","","127.466885202121","2021-06-07","신고","경기도","점퍼(JumPer)","경기도 이천시 갈산로27번길 186 (갈산동)","Y","체육교습업","경기도 이천시 갈산동 523-2"
"광주광역시","N","",65,"20210430","정상운영","2021-06-09","실내","35.1290434332043","62060",261,"","YNz25TqWC8mF3IlqVz2FfCRwLXUH6YK/wABdI/dRLvA=","농구","서구","풍암동","서구","62060","","126.885290569746","2022-10-31","신고","광주광역시","팀케이 농구교실(서구점)","광주광역시 서구 풍암순환로188번길 37-1 (풍암동)","Y","체육교습업","광주광역시 서구 풍암동 1148-5"
"대전광역시","N","5층",66,"20210119","정상운영","2021-03-31","없음","0","34087",320,"(지족동)","DiU/dkGIt5eBx4tNlGBbmR8OARSxtkBITFZoLWqqbsw=","농구","유성구","","유성구","34087","","0","2021-08-26","신고","대전광역시","월드짐 농구교실","대전광역시 유성구 은구비남로7번길 50 (지족동)","Y","체육교습업","대전광역시 유성구 지족동 897-4"
"전라남도","N","",67,"20210317","정상운영","2021-03-30","실내외","34.7825418636829","59625",421,"","XLN7r5kzHEx/BvkoHAVeLLst2LEwmtVEVHABW5iYJkw=","농구","여수시","둔덕동","여수시","59625","","127.697608849767","2022-05-04","신고","전라남도","우리누리 스포츠","전라남도 여수시 용수길 2-41 (둔덕동)","Y","체육교습업","전라남도 여수시 둔덕동 244"
"경기도","N","",68,"20210302","정상운영","2021-06-21","없음","0","12991",330,"(감북동)","Du9iKg8kb6aVdI2UzOCZZWK8B2ktwdrspR/Sso1sn7I=","농구","하남시","","하남시","12991","","0","2022-10-20","신고","경기도","우리코치 아카데미","경기도 하남시 서하남로47번길 252-7 (감북동)","Y","체육교습업","경기도 하남시 감북동 148-9"
"경기도","N","",69,"20210415","정상운영","2021-06-21","없음","37.5479506807525","12937",374,"","oBwwTctvRkTmg/wlkXbo3/NxnotzhSimnFwTIKQViys=","농구","하남시","풍산동","하남시","12937","","127.195872953285","2022-10-20","신고","경기도","벌키스포츠","경기도 하남시 하남대로934번길 19 (풍산동)","Y","체육교습업","경기도 하남시 풍산동 378-14"
"경기도","N","201호",70,"20210514","정상운영","2021-06-21","없음","37.5653541871923","12900",397,"201호","jO3EhVYBayvmhS6QSi2gfl8j2tlKnDmAannsAeiv+nc=","농구","하남시","미사동","하남시","12900","","127.205854848521","2022-10-20","신고","경기도","스킬팩토리 주니어","경기도 하남시 미사동로40번길 146 (미사동)","Y","체육교습업","경기도 하남시 미사동 201-3"
